"","year","employment","edu","sum_number"
"75",2011,"Barbers","hs-college",30.17
"76",2011,"Bartenders","college+",79.97
"77",2011,"Bartenders","hs-",143.08
"78",2011,"Bartenders","hs-college",168.96
"79",2011,"Bill and account collectors","college+",37.98
"80",2011,"Bill and account collectors","hs-",72.37
"81",2011,"Bill and account collectors","hs-college",100.64
"82",2011,"Billing and posting clerks","college+",81.48
"83",2011,"Billing and posting clerks","hs-",162.5
"84",2011,"Billing and posting clerks","hs-college",226.56
"85",2011,"Biological technicians","college+",11.39
"86",2011,"Biological technicians","hs-",4.2
"87",2011,"Biological technicians","hs-college",5.4
"88",2011,"Boilermakers","college+",0.64
"89",2011,"Boilermakers","hs-",11.48
"90",2011,"Boilermakers","hs-college",6.88
"91",2011,"Bookkeeping, accounting, and auditing clerks","college+",226.2
"92",2011,"Bookkeeping, accounting, and auditing clerks","hs-",430.3
"93",2011,"Bookkeeping, accounting, and auditing clerks","hs-college",642.2
"94",2011,"Brokerage clerks","college+",4.54
"95",2011,"Brokerage clerks","hs-",1.96
"96",2011,"Brokerage clerks","hs-college",4.49
"97",2011,"Budget analysts","college+",36.35
"98",2011,"Budget analysts","hs-",3.87
"99",2011,"Budget analysts","hs-college",12.82
"100",2011,"Bus and truck mechanics and diesel engine specialists","college+",9.99
"101",2011,"Bus and truck mechanics and diesel engine specialists","hs-",197.81
"102",2011,"Bus and truck mechanics and diesel engine specialists","hs-college",104.21
"103",2011,"Business operations specialists, all other","college+",157.36
"104",2011,"Business operations specialists, all other","hs-",39.62
"105",2011,"Business operations specialists, all other","hs-college",84.02
"106",2011,"Buyers and purchasing agents, farm products","college+",4.23
"107",2011,"Buyers and purchasing agents, farm products","hs-",4.54
"108",2011,"Buyers and purchasing agents, farm products","hs-college",3.21
"109",2011,"Cabinetmakers and bench carpenters","college+",5.93
"110",2011,"Cabinetmakers and bench carpenters","hs-",42.9
"111",2011,"Cabinetmakers and bench carpenters","hs-college",17.16
"112",2011,"Cargo and freight agents","college+",1.37
"113",2011,"Cargo and freight agents","hs-",3.43
"114",2011,"Cargo and freight agents","hs-college",3.19
"115",2011,"Carpenters","college+",95.76
"116",2011,"Carpenters","hs-",884.45
"117",2011,"Carpenters","hs-college",349.79
"118",2011,"Chefs and head cooks","college+",48.59
"119",2011,"Chefs and head cooks","hs-",166.91
"120",2011,"Chefs and head cooks","hs-college",131.51
"121",2011,"Chemical engineers","college+",65.49
"122",2011,"Chemical engineers","hs-",2.22
"123",2011,"Chemical engineers","hs-college",6.29
"124",2011,"Chemical technicians","college+",26.49
"125",2011,"Chemical technicians","hs-",20.79
"126",2011,"Chemical technicians","hs-college",29.73
"127",2011,"Childcare workers","college+",190.8
"128",2011,"Childcare workers","hs-",581.03
"129",2011,"Childcare workers","hs-college",457.93
"130",2011,"Chiropractors","college+",54.89
"131",2011,"Chiropractors","hs-",0.28
"132",2011,"Chiropractors","hs-college",0.84
"133",2011,"Civil engineers","college+",326.7
"134",2011,"Civil engineers","hs-",11.1
"135",2011,"Civil engineers","hs-college",45.19
"136",2011,"Cleaners of vehicles and equipment","college+",13.23
"137",2011,"Cleaners of vehicles and equipment","hs-",252.22
"138",2011,"Cleaners of vehicles and equipment","hs-college",65.54
"139",2011,"Clergy","college+",310.5
"140",2011,"Clergy","hs-",33.53
"141",2011,"Clergy","hs-college",69.55
"142",2011,"Coin, vending, and amusement machine servicers and repairers","college+",4.96
"143",2011,"Coin, vending, and amusement machine servicers and repairers","hs-",24.65
"144",2011,"Coin, vending, and amusement machine servicers and repairers","hs-college",16.42
"145",2011,"Combined food preparation and serving workers, including fast food","college+",19.56
"146",2011,"Combined food preparation and serving workers, including fast food","hs-",218.75
"147",2011,"Combined food preparation and serving workers, including fast food","hs-college",87.7
"148",2011,"Communications equipment operators, all other","college+",2.74
"149",2011,"Communications equipment operators, all other","hs-",1.38
"150",2011,"Communications equipment operators, all other","hs-college",2.86
"151",2011,"Compensation and benefits managers","college+",12.71
"152",2011,"Compensation and benefits managers","hs-",1.91
"153",2011,"Compensation and benefits managers","hs-college",6.41
"154",2011,"Compensation, benefits, and job analysis specialists","college+",31.07
"155",2011,"Compensation, benefits, and job analysis specialists","hs-",8.7
"156",2011,"Compensation, benefits, and job analysis specialists","hs-college",25.22
"157",2011,"Compliance officers","college+",116.03
"158",2011,"Compliance officers","hs-",23.96
"159",2011,"Compliance officers","hs-college",58.21
"160",2011,"Computer and information research scientists","college+",18.32
"161",2011,"Computer and information research scientists","hs-",0.4
"162",2011,"Computer and information research scientists","hs-college",1.32
"163",2011,"Computer and information systems managers","college+",402.04
"164",2011,"Computer and information systems managers","hs-",22.67
"165",2011,"Computer and information systems managers","hs-college",128.29
"166",2011,"Computer hardware engineers","college+",55.6
"167",2011,"Computer hardware engineers","hs-",3.85
"168",2011,"Computer hardware engineers","hs-college",17.56
"169",2011,"Computer occupations, all other","college+",156.98
"170",2011,"Computer occupations, all other","hs-",31.21
"171",2011,"Computer occupations, all other","hs-college",117.81
"172",2011,"Computer operators","college+",34.15
"173",2011,"Computer operators","hs-",34.65
"174",2011,"Computer operators","hs-college",57.2
"175",2011,"Computer programmers","college+",331.4
"176",2011,"Computer programmers","hs-",23.86
"177",2011,"Computer programmers","hs-college",103.73
"178",2011,"Computer systems analysts","college+",320.5
"179",2011,"Computer systems analysts","hs-",23.24
"180",2011,"Computer systems analysts","hs-college",103.25
"181",2011,"Computer, automated teller, and office machine repairers","college+",78.09
"182",2011,"Computer, automated teller, and office machine repairers","hs-",64.97
"183",2011,"Computer, automated teller, and office machine repairers","hs-college",162.25
"184",2011,"Construction and building inspectors","college+",20.02
"185",2011,"Construction and building inspectors","hs-",21.3
"186",2011,"Construction and building inspectors","hs-college",33.68
"187",2011,"Construction laborers","college+",67.66
"188",2011,"Construction laborers","hs-",923.46
"189",2011,"Construction laborers","hs-college",260.62
"190",2011,"Construction managers","college+",311.13
"191",2011,"Construction managers","hs-",311.13
"192",2011,"Construction managers","hs-college",302.8
"193",2011,"Cost estimators","college+",39.75
"194",2011,"Cost estimators","hs-",31.18
"195",2011,"Cost estimators","hs-college",47.95
"196",2011,"Counter and rental clerks","college+",24.33
"197",2011,"Counter and rental clerks","hs-",68.25
"198",2011,"Counter and rental clerks","hs-college",46.57
"199",2011,"Couriers and messengers","college+",33.37
"200",2011,"Couriers and messengers","hs-",108.31
"201",2011,"Couriers and messengers","hs-college",107.32
"202",2011,"Court, municipal, and license clerks","college+",16.17
"203",2011,"Court, municipal, and license clerks","hs-",27.26
"204",2011,"Court, municipal, and license clerks","hs-college",42.57
"205",2011,"Crane and tower operators","college+",0.88
"206",2011,"Crane and tower operators","hs-",45.05
"207",2011,"Crane and tower operators","hs-college",17.08
"208",2011,"Credit analysts","college+",15.2
"209",2011,"Credit analysts","hs-",2.67
"210",2011,"Credit analysts","hs-college",6.14
"211",2011,"Credit authorizers, checkers, and clerks","college+",10.53
"212",2011,"Credit authorizers, checkers, and clerks","hs-",16.74
"213",2011,"Credit authorizers, checkers, and clerks","hs-college",17.73
"214",2011,"Crossing guards","college+",3.36
"215",2011,"Crossing guards","hs-",38.46
"216",2011,"Crossing guards","hs-college",17.22
"217",2011,"Customer service representatives","college+",461.76
"218",2011,"Customer service representatives","hs-",603.54
"219",2011,"Customer service representatives","hs-college",850.7
"220",2011,"Data entry keyers","college+",63.8
"221",2011,"Data entry keyers","hs-",111.22
"222",2011,"Data entry keyers","hs-college",158.98
"223",2011,"Database administrators","college+",91.79
"224",2011,"Database administrators","hs-",8.71
"225",2011,"Database administrators","hs-college",33.5
"226",2011,"Dental assistants","college+",27.94
"227",2011,"Dental assistants","hs-",101.62
"228",2011,"Dental assistants","hs-college",177.14
"229",2011,"Dental hygienists","college+",53.27
"230",2011,"Dental hygienists","hs-",4.44
"231",2011,"Dental hygienists","hs-college",90.42
"232",2011,"Detectives and criminal investigators","college+",81.39
"233",2011,"Detectives and criminal investigators","hs-",13.14
"234",2011,"Detectives and criminal investigators","hs-college",56.77
"235",2011,"Dietitians and nutritionists","college+",76.5
"236",2011,"Dietitians and nutritionists","hs-",14.48
"237",2011,"Dietitians and nutritionists","hs-college",11.02
"238",2011,"Directors, religious activities and education","college+",29.22
"239",2011,"Directors, religious activities and education","hs-",4.48
"240",2011,"Directors, religious activities and education","hs-college",10.29
"241",2011,"Dishwashers","college+",9.28
"242",2011,"Dishwashers","hs-",227.14
"243",2011,"Dishwashers","hs-college",36.85
"244",2011,"Door-to-door sales workers, news and street vendors, and related workers","college+",37.79
"245",2011,"Door-to-door sales workers, news and street vendors, and related workers","hs-",95.28
"246",2011,"Door-to-door sales workers, news and street vendors, and related workers","hs-college",67.73
"247",2011,"Earth drillers, except oil and gas","college+",1.1
"248",2011,"Earth drillers, except oil and gas","hs-",15.18
"249",2011,"Earth drillers, except oil and gas","hs-college",6.71
"250",2011,"Economists","college+",22.72
"251",2011,"Economists","hs-",0.17
"252",2011,"Economists","hs-college",0.14
"253",2011,"Editors","college+",139.11
"254",2011,"Editors","hs-",5.15
"255",2011,"Editors","hs-college",21.58
"256",2011,"Electrical power-line installers and repairers","college+",7.32
"257",2011,"Electrical power-line installers and repairers","hs-",62.75
"258",2011,"Electrical power-line installers and repairers","hs-college",54.06
"259",2011,"Electricians","college+",49.11
"260",2011,"Electricians","hs-",318.49
"261",2011,"Electricians","hs-college",314.4
"262",2011,"Elevator installers and repairers","college+",1.56
"263",2011,"Elevator installers and repairers","hs-",14.88
"264",2011,"Elevator installers and repairers","hs-college",13.56
"265",2011,"Eligibility interviewers, government programs","college+",35.2
"266",2011,"Eligibility interviewers, government programs","hs-",12.32
"267",2011,"Eligibility interviewers, government programs","hs-college",37.48
"268",2011,"Emergency management directors","college+",2.92
"269",2011,"Emergency management directors","hs-",0.68
"270",2011,"Emergency management directors","hs-college",1.39
"271",2011,"Emergency medical technicians and paramedics","college+",28.32
"272",2011,"Emergency medical technicians and paramedics","hs-",28.86
"273",2011,"Emergency medical technicians and paramedics","hs-college",127.84
"274",2011,"Engine and other machine assemblers","college+",1.36
"275",2011,"Engine and other machine assemblers","hs-",20.64
"276",2011,"Engine and other machine assemblers","hs-college",11.97
"277",2011,"Entertainers and performers, sports and related workers, all other","college+",17.74
"278",2011,"Entertainers and performers, sports and related workers, all other","hs-",11.49
"279",2011,"Entertainers and performers, sports and related workers, all other","hs-college",14.74
"280",2011,"Environmental engineers","college+",39.55
"281",2011,"Environmental engineers","hs-",1.85
"282",2011,"Environmental engineers","hs-college",3.65
"283",2011,"Explosives workers, ordnance handling experts, and blasters","college+",1.09
"284",2011,"Explosives workers, ordnance handling experts, and blasters","hs-",4.37
"285",2011,"Explosives workers, ordnance handling experts, and blasters","hs-college",3.52
"286",2011,"Extruding and drawing machine setters, operators, and tenders, metal and plastic","college+",0.49
"287",2011,"Extruding and drawing machine setters, operators, and tenders, metal and plastic","hs-",8.47
"288",2011,"Extruding and drawing machine setters, operators, and tenders, metal and plastic","hs-college",4.03
"289",2011,"Extruding, forming, pressing, and compacting machine setters, operators, and tenders","college+",1.22
"290",2011,"Extruding, forming, pressing, and compacting machine setters, operators, and tenders","hs-",24.28
"291",2011,"Extruding, forming, pressing, and compacting machine setters, operators, and tenders","hs-college",8.5
"292",2011,"Farmers, ranchers, and other agricultural managers","college+",208.31
"293",2011,"Farmers, ranchers, and other agricultural managers","hs-",490.96
"294",2011,"Farmers, ranchers, and other agricultural managers","hs-college",277.75
"295",2011,"Fence erectors","college+",2.3
"296",2011,"Fence erectors","hs-",33.03
"297",2011,"Fence erectors","hs-college",9.67
"298",2011,"File clerks","college+",73.82
"299",2011,"File clerks","hs-",111.56
"300",2011,"File clerks","hs-college",148.63
"301",2011,"Financial analysts","college+",72.32
"302",2011,"Financial analysts","hs-",2.94
"303",2011,"Financial analysts","hs-college",8.73
"304",2011,"Financial clerks, all other","college+",24.07
"305",2011,"Financial clerks, all other","hs-",16.96
"306",2011,"Financial clerks, all other","hs-college",22.98
"307",2011,"Financial examiners","college+",6.39
"308",2011,"Financial examiners","hs-",0.42
"309",2011,"Financial examiners","hs-college",1.18
"310",2011,"Financial managers","college+",673.05
"311",2011,"Financial managers","hs-",127.31
"312",2011,"Financial managers","hs-college",305.54
"313",2011,"Financial specialists, all other","college+",45.81
"314",2011,"Financial specialists, all other","hs-",8.93
"315",2011,"Financial specialists, all other","hs-college",22.26
"316",2011,"Firefighters","college+",63.14
"317",2011,"Firefighters","hs-",51.85
"318",2011,"Firefighters","hs-college",190.02
"319",2011,"First-line supervisors of construction trades and extraction workers","college+",71.64
"320",2011,"First-line supervisors of construction trades and extraction workers","hs-",356.3
"321",2011,"First-line supervisors of construction trades and extraction workers","hs-college",206.68
"322",2011,"First-line supervisors of correctional officers","college+",12.22
"323",2011,"First-line supervisors of correctional officers","hs-",10.67
"324",2011,"First-line supervisors of correctional officers","hs-college",19.11
"325",2011,"First-line supervisors of farming, fishing, and forestry workers","college+",9.31
"326",2011,"First-line supervisors of farming, fishing, and forestry workers","hs-",31.3
"327",2011,"First-line supervisors of farming, fishing, and forestry workers","hs-college",11.34
"328",2011,"First-line supervisors of fire fighting and prevention workers","college+",10.29
"329",2011,"First-line supervisors of fire fighting and prevention workers","hs-",5.77
"330",2011,"First-line supervisors of fire fighting and prevention workers","hs-college",27.89
"331",2011,"First-line supervisors of housekeeping and janitorial workers","college+",30.95
"332",2011,"First-line supervisors of housekeeping and janitorial workers","hs-",166.44
"333",2011,"First-line supervisors of housekeeping and janitorial workers","hs-college",94.6
"334",2011,"First-line supervisors of mechanics, installers, and repairers","college+",45.07
"335",2011,"First-line supervisors of mechanics, installers, and repairers","hs-",132.08
"336",2011,"First-line supervisors of mechanics, installers, and repairers","hs-college",136.15
"337",2011,"First-line supervisors of office and administrative support workers","college+",456.78
"338",2011,"First-line supervisors of office and administrative support workers","hs-",375.67
"339",2011,"First-line supervisors of office and administrative support workers","hs-college",590.55
"340",2011,"First-line supervisors of personal service workers","college+",49.73
"341",2011,"First-line supervisors of personal service workers","hs-",67.39
"342",2011,"First-line supervisors of personal service workers","hs-college",74.88
"343",2011,"First-line supervisors of production and operating workers","college+",119.23
"344",2011,"First-line supervisors of production and operating workers","hs-",357.69
"345",2011,"First-line supervisors of production and operating workers","hs-college",250.09
"346",2011,"First-line supervisors of protective service workers, all other","college+",32.31
"347",2011,"First-line supervisors of protective service workers, all other","hs-",27.42
"348",2011,"First-line supervisors of protective service workers, all other","hs-college",51.28
"349",2011,"First-line supervisors of retail sales workers","college+",813.9
"350",2011,"First-line supervisors of retail sales workers","hs-",1174.21
"351",2011,"First-line supervisors of retail sales workers","hs-college",1228.89
"352",2011,"Flight attendants","college+",33.09
"353",2011,"Flight attendants","hs-",14.43
"354",2011,"Flight attendants","hs-college",40.57
"355",2011,"Food and tobacco roasting, baking, and drying machine operators and tenders","college+",0.91
"356",2011,"Food and tobacco roasting, baking, and drying machine operators and tenders","hs-",8.32
"357",2011,"Food and tobacco roasting, baking, and drying machine operators and tenders","hs-college",2.77
"358",2011,"Food preparation workers","college+",62.73
"359",2011,"Food preparation workers","hs-",542.53
"360",2011,"Food preparation workers","hs-college",179.53
"361",2011,"Food servers, nonrestaurant","college+",15.02
"362",2011,"Food servers, nonrestaurant","hs-",113.31
"363",2011,"Food servers, nonrestaurant","hs-college",52.49
"364",2011,"Food service managers","college+",260.65
"365",2011,"Food service managers","hs-",401.48
"366",2011,"Food service managers","hs-college",389.92
"367",2011,"Forest and conservation workers","college+",2.39
"368",2011,"Forest and conservation workers","hs-",7.77
"369",2011,"Forest and conservation workers","hs-college",3.85
"370",2011,"Fundraisers","college+",62.39
"371",2011,"Fundraisers","hs-",5.07
"372",2011,"Fundraisers","hs-college",10.53
"373",2011,"Furnace, kiln, oven, drier, and kettle operators and tenders","college+",0.56
"374",2011,"Furnace, kiln, oven, drier, and kettle operators and tenders","hs-",6.6
"375",2011,"Furnace, kiln, oven, drier, and kettle operators and tenders","hs-college",3.85
"376",2011,"Furniture finishers","college+",1.14
"377",2011,"Furniture finishers","hs-",11.22
"378",2011,"Furniture finishers","hs-college",4.63
"379",2011,"Gaming cage workers","college+",0.55
"380",2011,"Gaming cage workers","hs-",2.54
"381",2011,"Gaming cage workers","hs-college",1.9
"382",2011,"Gaming managers","college+",3.96
"383",2011,"Gaming managers","hs-",8.12
"384",2011,"Gaming managers","hs-college",10.93
"385",2011,"General and operations managers","college+",482.16
"386",2011,"General and operations managers","hs-",175.07
"387",2011,"General and operations managers","hs-college",319.8
"388",2011,"Glaziers","college+",2.26
"389",2011,"Glaziers","hs-",33.27
"390",2011,"Glaziers","hs-college",12.48
"391",2011,"Graders and sorters, agricultural products","college+",4.09
"392",2011,"Graders and sorters, agricultural products","hs-",80.09
"393",2011,"Graders and sorters, agricultural products","hs-college",10.74
"394",2011,"Hazardous materials removal workers","college+",4.28
"395",2011,"Hazardous materials removal workers","hs-",18.62
"396",2011,"Hazardous materials removal workers","hs-college",9.06
"397",2011,"Health diagnosing and treating practitioners, all other","college+",22.64
"398",2011,"Health diagnosing and treating practitioners, all other","hs-",0.91
"399",2011,"Health diagnosing and treating practitioners, all other","hs-college",2.42
"400",2011,"Heating, air conditioning, and refrigeration mechanics and installers","college+",13.86
"401",2011,"Heating, air conditioning, and refrigeration mechanics and installers","hs-",179.82
"402",2011,"Heating, air conditioning, and refrigeration mechanics and installers","hs-college",144.32
"403",2011,"Highway maintenance workers","college+",3.05
"404",2011,"Highway maintenance workers","hs-",73.4
"405",2011,"Highway maintenance workers","hs-college",28.46
"406",2011,"Home appliance repairers","college+",3.35
"407",2011,"Home appliance repairers","hs-",25.46
"408",2011,"Home appliance repairers","hs-college",14.15
"409",2011,"Hosts and hostesses, restaurant, lounge, and coffee shop","college+",52.62
"410",2011,"Hosts and hostesses, restaurant, lounge, and coffee shop","hs-",135.56
"411",2011,"Hosts and hostesses, restaurant, lounge, and coffee shop","hs-college",97.81
"412",2011,"Hotel, motel, and resort desk clerks","college+",24.17
"413",2011,"Hotel, motel, and resort desk clerks","hs-",54.55
"414",2011,"Hotel, motel, and resort desk clerks","hs-college",56.43
"415",2011,"Human resources assistants, except payroll and timekeeping","college+",11.72
"416",2011,"Human resources assistants, except payroll and timekeeping","hs-",9
"417",2011,"Human resources assistants, except payroll and timekeeping","hs-college",19.32
"418",2011,"Human resources managers","college+",137.78
"419",2011,"Human resources managers","hs-",36.69
"420",2011,"Human resources managers","hs-college",68.52
"421",2011,"Industrial production managers","college+",115
"422",2011,"Industrial production managers","hs-",62.68
"423",2011,"Industrial production managers","hs-college",81.33
"424",2011,"Industrial truck and tractor operators","college+",12.68
"425",2011,"Industrial truck and tractor operators","hs-",398.64
"426",2011,"Industrial truck and tractor operators","hs-college",116.16
"427",2011,"Information and record clerks, all other","college+",27.5
"428",2011,"Information and record clerks, all other","hs-",27.97
"429",2011,"Information and record clerks, all other","hs-college",62.66
"430",2011,"Inspectors, testers, sorters, samplers, and weighers","college+",103.51
"431",2011,"Inspectors, testers, sorters, samplers, and weighers","hs-",318.32
"432",2011,"Inspectors, testers, sorters, samplers, and weighers","hs-college",225.16
"433",2011,"Insurance claims and policy processing clerks","college+",57.81
"434",2011,"Insurance claims and policy processing clerks","hs-",73.06
"435",2011,"Insurance claims and policy processing clerks","hs-college",115.12
"436",2011,"Insurance sales agents","college+",252.22
"437",2011,"Insurance sales agents","hs-",88.14
"438",2011,"Insurance sales agents","hs-college",190.63
"439",2011,"Interviewers, except eligibility and loan","college+",40.54
"440",2011,"Interviewers, except eligibility and loan","hs-",37.34
"441",2011,"Interviewers, except eligibility and loan","hs-college",74.97
"442",2011,"Jewelers and precious stone and metal workers","college+",8.29
"443",2011,"Jewelers and precious stone and metal workers","hs-",20.29
"444",2011,"Jewelers and precious stone and metal workers","hs-college",12.43
"445",2011,"Laundry and dry-cleaning workers","college+",8.87
"446",2011,"Laundry and dry-cleaning workers","hs-",136.59
"447",2011,"Laundry and dry-cleaning workers","hs-college",28.53
"448",2011,"Librarians","college+",169.49
"449",2011,"Librarians","hs-",0.6
"450",2011,"Librarians","hs-college",27.72
"451",2011,"Library assistants, clerical","college+",49.38
"452",2011,"Library assistants, clerical","hs-",22.94
"453",2011,"Library assistants, clerical","hs-college",40.69
"454",2011,"Library technicians","college+",12.05
"455",2011,"Library technicians","hs-",14.28
"456",2011,"Library technicians","hs-college",10.65
"457",2011,"Licensed practical and licensed vocational nurses","college+",26.32
"458",2011,"Licensed practical and licensed vocational nurses","hs-",110.32
"459",2011,"Licensed practical and licensed vocational nurses","hs-college",423.36
"460",2011,"Loan interviewers and clerks","college+",25.51
"461",2011,"Loan interviewers and clerks","hs-",35.22
"462",2011,"Loan interviewers and clerks","hs-college",56.27
"463",2011,"Lodging managers","college+",60.38
"464",2011,"Lodging managers","hs-",34.78
"465",2011,"Lodging managers","hs-college",52.84
"466",2011,"Logisticians","college+",36.7
"467",2011,"Logisticians","hs-",13.55
"468",2011,"Logisticians","hs-college",37.67
"469",2011,"Machinists","college+",13.83
"470",2011,"Machinists","hs-",235.48
"471",2011,"Machinists","hs-college",169.7
"472",2011,"Mail clerks and mail machine operators, except postal service","college+",10.69
"473",2011,"Mail clerks and mail machine operators, except postal service","hs-",47.99
"474",2011,"Mail clerks and mail machine operators, except postal service","hs-college",34.32
"475",2011,"Maintenance and repair workers, general","college+",24.9
"476",2011,"Maintenance and repair workers, general","hs-",244.76
"477",2011,"Maintenance and repair workers, general","hs-college",151.5
"478",2011,"Management analysts","college+",542.98
"479",2011,"Management analysts","hs-",38.89
"480",2011,"Management analysts","hs-college",125.84
"481",2011,"Marine engineers and naval architects","college+",6.22
"482",2011,"Marine engineers and naval architects","hs-",0.89
"483",2011,"Marine engineers and naval architects","hs-college",1.89
"484",2011,"Market research analysts and marketing specialists","college+",157.23
"485",2011,"Market research analysts and marketing specialists","hs-",10.66
"486",2011,"Market research analysts and marketing specialists","hs-college",36.9
"487",2011,"Massage therapists","college+",38.25
"488",2011,"Massage therapists","hs-",29.79
"489",2011,"Massage therapists","hs-college",78.11
"490",2011,"Materials engineers","college+",24.13
"491",2011,"Materials engineers","hs-",2.08
"492",2011,"Materials engineers","hs-college",5.82
"493",2011,"Mechanical engineers","college+",239.57
"494",2011,"Mechanical engineers","hs-",15.45
"495",2011,"Mechanical engineers","hs-college",66.98
"496",2011,"Medical and health services managers","college+",320.04
"497",2011,"Medical and health services managers","hs-",55.54
"498",2011,"Medical and health services managers","hs-college",153.41
"499",2011,"Medical records and health information technicians","college+",22.28
"500",2011,"Medical records and health information technicians","hs-",34.22
"501",2011,"Medical records and health information technicians","hs-college",59.74
"502",2011,"Meeting, convention, and event planners","college+",65.51
"503",2011,"Meeting, convention, and event planners","hs-",13.95
"504",2011,"Meeting, convention, and event planners","hs-college",29.64
"505",2011,"Meter readers, utilities","college+",2.75
"506",2011,"Meter readers, utilities","hs-",13.27
"507",2011,"Meter readers, utilities","hs-college",11.99
"508",2011,"Morticians, undertakers, and funeral directors","college+",8.35
"509",2011,"Morticians, undertakers, and funeral directors","hs-",2.23
"510",2011,"Morticians, undertakers, and funeral directors","hs-college",12.39
"511",2011,"Motion picture projectionists","college+",1.92
"512",2011,"Motion picture projectionists","hs-",2.32
"513",2011,"Motion picture projectionists","hs-college",3.75
"514",2011,"Motor vehicle operators, all other","college+",7.87
"515",2011,"Motor vehicle operators, all other","hs-",35.09
"516",2011,"Motor vehicle operators, all other","hs-college",18.98
"517",2011,"Natural sciences managers","college+",14.33
"518",2011,"Natural sciences managers","hs-",0.41
"519",2011,"Natural sciences managers","hs-college",1.26
"520",2011,"New accounts clerks","college+",7.46
"521",2011,"New accounts clerks","hs-",11.09
"522",2011,"New accounts clerks","hs-college",14.42
"523",2011,"Nonfarm animal caretakers","college+",30.79
"524",2011,"Nonfarm animal caretakers","hs-",83.77
