"","occupation","code","education","work_experience","job_training","year"
"45","Management Analysts","13-1111","Bachelor's degree","1 to 5 years","None","2010"
"46","Meeting, Convention, and Event Planners","13-1121","Bachelor's degree","Less than 1 year","None","2010"
"47","Compensation, Benefits, and Job Analysis Specialists","13-1141","Bachelor's degree","None","None","2010"
"48","Training and Development Specialists","13-1151","Bachelor's degree","None","None","2010"
"49","Market Research Analysts and Marketing Specialists","13-1161","Bachelor's degree","None","None","2010"
"50","Business Operations Specialists, All Other","13-1199","High school diploma or equivalent","Less than 1 year","Long-term on-the-job training","2010"
"51","Accountants and Auditors","13-2011","Bachelor's degree","None","None","2010"
"52","Appraisers and Assessors of Real Estate","13-2021","High school diploma or equivalent","None","Apprenticeship","2010"
"53","Budget Analysts","13-2031","Bachelor's degree","None","None","2010"
"54","Credit Analysts","13-2041","Bachelor's degree","None","None","2010"
"55","Financial Analysts","13-2051","Bachelor's degree","None","None","2010"
"56","Personal Financial Advisors","13-2052","Bachelor's degree","None","None","2010"
"57","Insurance Underwriters","13-2053","Bachelor's degree","None","Moderate-term on-the-job training","2010"
"58","Financial Examiners","13-2061","Bachelor's degree","None","Moderate-term on-the-job training","2010"
"59","Credit Counselors","13-2071","Bachelor's degree","None","Moderate-term on-the-job training","2010"
"60","Loan Officers","13-2072","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"61","Tax Examiners and Collectors, and Revenue Agents","13-2081","Bachelor's degree","None","Moderate-term on-the-job training","2010"
"62","Tax Preparers","13-2082","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"63","Financial Specialists, All Other","13-2099","Bachelor's degree","None","Moderate-term on-the-job training","2010"
"64","Computer and Information Research Scientists","15-1111","Doctoral or professional degree","None","None","2010"
"65","Computer Systems Analysts","15-1121","Bachelor's degree","None","None","2010"
"66","Computer Programmers","15-1131","Bachelor's degree","None","None","2010"
"67","Software Developers, Applications","15-1132","Bachelor's degree","None","None","2010"
"68","Software Developers, Systems Software","15-1133","Bachelor's degree","None","None","2010"
"69","Database Administrators","15-1141","Bachelor's degree","1 to 5 years","None","2010"
"70","Network and Computer Systems Administrators","15-1142","Bachelor's degree","None","None","2010"
"71","Computer Support Specialists","15-1150","Some college, no degree","None","Moderate-term on-the-job training","2010"
"72","Information Security Analysts, Web Developers, and Computer Network Architects","15-1179","Bachelor's degree","1 to 5 years","None","2010"
"73","Computer Occupations, All Other","15-1799","Bachelor's degree","None","None","2010"
"74","Actuaries","15-2011","Bachelor's degree","None","Long-term on-the-job training","2010"
"75","Mathematicians","15-2021","Master's degree","None","None","2010"
"76","Operations Research Analysts","15-2031","Bachelor's degree","None","None","2010"
"77","Statisticians","15-2041","Master's degree","None","None","2010"
"78","Mathematical Technicians","15-2091","Bachelor's degree","None","None","2010"
"79","Mathematical Science Occupations, All Other","15-2099","Bachelor's degree","None","None","2010"
"80","Architects, Except Landscape and Naval","17-1011","Bachelor's degree","None","Internship/residency","2010"
"81","Landscape Architects","17-1012","Bachelor's degree","None","Internship/residency","2010"
"82","Cartographers and Photogrammetrists","17-1021","Bachelor's degree","None","None","2010"
"83","Surveyors","17-1022","Bachelor's degree","None","None","2010"
"84","Aerospace Engineers","17-2011","Bachelor's degree","None","None","2010"
"85","Agricultural Engineers","17-2021","Bachelor's degree","None","None","2010"
"86","Biomedical Engineers","17-2031","Bachelor's degree","None","None","2010"
"87","Chemical Engineers","17-2041","Bachelor's degree","None","None","2010"
"88","Civil Engineers","17-2051","Bachelor's degree","None","None","2010"
"89","Computer Hardware Engineers","17-2061","Bachelor's degree","None","None","2010"
"90","Electrical Engineers","17-2071","Bachelor's degree","None","None","2010"
"91","Electronics Engineers, Except Computer","17-2072","Bachelor's degree","None","None","2010"
"92","Environmental Engineers","17-2081","Bachelor's degree","None","None","2010"
"93","Health and Safety Engineers, Except Mining Safety Engineers and Inspectors","17-2111","Bachelor's degree","None","None","2010"
"94","Industrial Engineers","17-2112","Bachelor's degree","None","None","2010"
"95","Marine Engineers and Naval Architects","17-2121","Bachelor's degree","None","None","2010"
"96","Materials Engineers","17-2131","Bachelor's degree","None","None","2010"
"97","Mechanical Engineers","17-2141","Bachelor's degree","None","None","2010"
"98","Mining and Geological Engineers, Including Mining Safety Engineers","17-2151","Bachelor's degree","None","None","2010"
"99","Nuclear Engineers","17-2161","Bachelor's degree","None","None","2010"
"100","Petroleum Engineers","17-2171","Bachelor's degree","None","None","2010"
"101","Engineers, All Other","17-2199","Bachelor's degree","None","None","2010"
"102","Architectural and Civil Drafters","17-3011","Associate's degree","None","None","2010"
"103","Electrical and Electronics Drafters","17-3012","Associate's degree","None","None","2010"
"104","Mechanical Drafters","17-3013","Associate's degree","None","None","2010"
"105","Drafters, All Other","17-3019","Associate's degree","None","None","2010"
"106","Aerospace Engineering and Operations Technicians","17-3021","Associate's degree","None","None","2010"
"107","Civil Engineering Technicians","17-3022","Associate's degree","None","None","2010"
"108","Electrical and Electronics Engineering Technicians","17-3023","Associate's degree","None","None","2010"
"109","Electro-Mechanical Technicians","17-3024","Associate's degree","None","None","2010"
"110","Environmental Engineering Technicians","17-3025","Associate's degree","None","None","2010"
"111","Industrial Engineering Technicians","17-3026","Associate's degree","None","None","2010"
"112","Mechanical Engineering Technicians","17-3027","Associate's degree","None","None","2010"
"113","Engineering Technicians, Except Drafters, All Other","17-3029","Associate's degree","None","None","2010"
"114","Surveying and Mapping Technicians","17-3031","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"115","Animal Scientists","19-1011","Doctoral or professional degree","None","None","2010"
"116","Food Scientists and Technologists","19-1012","Bachelor's degree","None","None","2010"
"117","Soil and Plant Scientists","19-1013","Bachelor's degree","None","None","2010"
"118","Biochemists and Biophysicists","19-1021","Doctoral or professional degree","None","None","2010"
"119","Microbiologists","19-1022","Bachelor's degree","None","None","2010"
"120","Zoologists and Wildlife Biologists","19-1023","Bachelor's degree","None","None","2010"
"121","Biological Scientists, All Other","19-1029","Doctoral or professional degree","None","None","2010"
"122","Conservation Scientists","19-1031","Bachelor's degree","None","None","2010"
"123","Foresters","19-1032","Bachelor's degree","None","None","2010"
"124","Epidemiologists","19-1041","Master's degree","None","None","2010"
"125","Medical Scientists, Except Epidemiologists","19-1042","Doctoral or professional degree","None","None","2010"
"126","Life Scientists, All Other","19-1099","Bachelor's degree","None","None","2010"
"127","Astronomers","19-2011","Doctoral or professional degree","None","None","2010"
"128","Physicists","19-2012","Doctoral or professional degree","None","None","2010"
"129","Atmospheric and Space Scientists","19-2021","Bachelor's degree","None","None","2010"
"130","Chemists","19-2031","Bachelor's degree","None","None","2010"
"131","Materials Scientists","19-2032","Bachelor's degree","None","None","2010"
"132","Environmental Scientists and Specialists, Including Health","19-2041","Bachelor's degree","None","None","2010"
"133","Geoscientists, Except Hydrologists and Geographers","19-2042","Bachelor's degree","None","None","2010"
"134","Hydrologists","19-2043","Master's degree","None","None","2010"
"135","Physical Scientists, All Other","19-2099","Bachelor's degree","None","None","2010"
"136","Economists","19-3011","Bachelor's degree","None","None","2010"
"137","Survey Researchers","19-3022","Bachelor's degree","None","None","2010"
"138","Clinical, Counseling, and School Psychologists","19-3031","Doctoral or professional degree","None","Internship/residency","2010"
"139","Industrial-Organizational Psychologists","19-3032","Master's degree","None","Internship/residency","2010"
"140","Psychologists, All Other","19-3039","Master's degree","None","Internship/residency","2010"
"141","Sociologists","19-3041","Master's degree","None","None","2010"
"142","Urban and Regional Planners","19-3051","Master's degree","None","None","2010"
"143","Anthropologists and Archeologists","19-3091","Master's degree","None","None","2010"
"144","Geographers","19-3092","Bachelor's degree","None","None","2010"
"145","Historians","19-3093","Master's degree","None","None","2010"
"146","Political Scientists","19-3094","Master's degree","None","None","2010"
"147","Social Scientists and Related Workers, All Other","19-3099","Bachelor's degree","None","None","2010"
"148","Agricultural and Food Science Technicians","19-4011","Associate's degree","None","None","2010"
"149","Biological Technicians","19-4021","Bachelor's degree","None","None","2010"
"150","Chemical Technicians","19-4031","Associate's degree","None","Moderate-term on-the-job training","2010"
"151","Geological and Petroleum Technicians","19-4041","Associate's degree","None","Moderate-term on-the-job training","2010"
"152","Nuclear Technicians","19-4051","Associate's degree","None","Moderate-term on-the-job training","2010"
"153","Social Science Research Assistants","19-4061","Associate's degree","None","None","2010"
"154","Environmental Science and Protection Technicians, Including Health","19-4091","Associate's degree","None","Moderate-term on-the-job training","2010"
"155","Forensic Science Technicians","19-4092","Bachelor's degree","None","Moderate-term on-the-job training","2010"
"156","Forest and Conservation Technicians","19-4093","Associate's degree","None","None","2010"
"157","Life, Physical, and Social Science Technicians, All Other","19-4099","Associate's degree","None","Moderate-term on-the-job training","2010"
"158","Substance Abuse and Behavioral Disorder Counselors","21-1011","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"159","Educational, Guidance, School, and Vocational Counselors","21-1012","Master's degree","None","None","2010"
"160","Marriage and Family Therapists","21-1013","Master's degree","None","Internship/residency","2010"
"161","Mental Health Counselors","21-1014","Master's degree","None","Internship/residency","2010"
"162","Rehabilitation Counselors","21-1015","Master's degree","None","None","2010"
"163","Counselors, All Other","21-1019","Master's degree","None","None","2010"
"164","Child, Family, and School Social Workers","21-1021","Bachelor's degree","None","None","2010"
"165","Healthcare Social Workers","21-1022","Master's degree","None","None","2010"
"166","Mental Health and Substance Abuse Social Workers","21-1023","Bachelor's degree","None","None","2010"
"167","Social Workers, All Other","21-1029","Bachelor's degree","None","None","2010"
"168","Health Educators","21-1091","Bachelor's degree","None","None","2010"
"169","Probation Officers and Correctional Treatment Specialists","21-1092","Bachelor's degree","None","Short-term on-the-job training","2010"
"170","Social and Human Service Assistants","21-1093","High school diploma or equivalent","None","Short-term on-the-job training","2010"
"171","Community and Social Service Specialists, All Other","21-1798","Bachelor's degree","None","None","2010"
"172","Clergy","21-2011","Bachelor's degree","None","Moderate-term on-the-job training","2010"
"173","Directors, Religious Activities and Education","21-2021","Bachelor's degree","1 to 5 years","None","2010"
"174","Religious Workers, All Other","21-2099","Bachelor's degree","None","None","2010"
"175","Lawyers","23-1011","Doctoral or professional degree","None","None","2010"
"176","Judicial Law Clerks","23-1012","Doctoral or professional degree","None","None","2010"
"177","Administrative Law Judges, Adjudicators, and Hearing Officers","23-1021","Bachelor's degree","1 to 5 years","Moderate-term on-the-job training","2010"
"178","Arbitrators, Mediators, and Conciliators","23-1022","Bachelor's degree","1 to 5 years","Moderate-term on-the-job training","2010"
"179","Judges, Magistrate Judges, and Magistrates","23-1023","Doctoral or professional degree","More than 5 years","Short-term on-the-job training","2010"
"180","Paralegals and Legal Assistants","23-2011","Associate's degree","None","None","2010"
"181","Court Reporters","23-2091","Postsecondary non-degree award","None","Short-term on-the-job training","2010"
"182","Title Examiners, Abstractors, and Searchers","23-2093","High school diploma or equivalent","None","Short-term on-the-job training","2010"
"183","Legal Support Workers, All Other","23-2099","High school diploma or equivalent","None","Short-term on-the-job training","2010"
"184","Postsecondary Teachers","25-1000","Doctoral or professional degree","None","None","2010"
"185","Preschool Teachers, Except Special Education","25-2011","Associate's degree","None","None","2010"
"186","Kindergarten Teachers, Except Special Education","25-2012","Bachelor's degree","None","Internship/residency","2010"
"187","Elementary School Teachers, Except Special Education","25-2021","Bachelor's degree","None","Internship/residency","2010"
"188","Middle School Teachers, Except Special and Career/Technical Education","25-2022","Bachelor's degree","None","Internship/residency","2010"
"189","Career/Technical Education Teachers, Middle School","25-2023","Bachelor's degree","1 to 5 years","Internship/residency","2010"
"190","Secondary School Teachers, Except Special and Career/Technical Education","25-2031","Bachelor's degree","None","Internship/residency","2010"
"191","Career/Technical Education Teachers, Secondary School","25-2032","Bachelor's degree","1 to 5 years","Internship/residency","2010"
"192","Special Education Teachers, Preschool, Kindergarten, and Elementary School","25-2041","Bachelor's degree","None","Internship/residency","2010"
"193","Special Education Teachers, Middle School","25-2053","Bachelor's degree","None","Internship/residency","2010"
"194","Special Education Teachers, Secondary School","25-2054","Bachelor's degree","None","Internship/residency","2010"
"195","Adult Basic and Secondary Education and Literacy Teachers and Instructors","25-3011","Bachelor's degree","None","Internship/residency","2010"
"196","Self-Enrichment Education Teachers","25-3021","High school diploma or equivalent","1 to 5 years","None","2010"
"197","Teachers and Instructors, All Other","25-3999","Bachelor's degree","None","None","2010"
"198","Archivists","25-4011","Bachelor's degree","None","None","2010"
"199","Curators","25-4012","Master's degree","None","None","2010"
"200","Museum Technicians and Conservators","25-4013","Bachelor's degree","None","None","2010"
"201","Librarians","25-4021","Master's degree","None","None","2010"
"202","Library Technicians","25-4031","Postsecondary non-degree award","None","None","2010"
"203","Audio-Visual and Multimedia Collections Specialists","25-9011","Bachelor's degree","1 to 5 years","None","2010"
"204","Farm and Home Management Advisors","25-9021","Master's degree","None","None","2010"
"205","Instructional Coordinators","25-9031","Master's degree","More than 5 years","None","2010"
"206","Teacher Assistants","25-9041","High school diploma or equivalent","None","Short-term on-the-job training","2010"
"207","Education, Training, and Library Workers, All Other","25-9099","Bachelor's degree","None","None","2010"
"208","Art Directors","27-1011","Bachelor's degree","1 to 5 years","None","2010"
"209","Craft Artists","27-1012","High school diploma or equivalent","None","Long-term on-the-job training","2010"
"210","Fine Artists, Including Painters, Sculptors, and Illustrators","27-1013","High school diploma or equivalent","None","Long-term on-the-job training","2010"
"211","Multimedia Artists and Animators","27-1014","Bachelor's degree","None","Moderate-term on-the-job training","2010"
"212","Artists and Related Workers, All Other","27-1019","High school diploma or equivalent","None","Long-term on-the-job training","2010"
"213","Commercial and Industrial Designers","27-1021","Bachelor's degree","None","None","2010"
"214","Fashion Designers","27-1022","High school diploma or equivalent","None","Long-term on-the-job training","2010"
"215","Floral Designers","27-1023","High school diploma or equivalent","None","Short-term on-the-job training","2010"
"216","Graphic Designers","27-1024","Bachelor's degree","None","None","2010"
"217","Interior Designers","27-1025","Bachelor's degree","None","None","2010"
"218","Merchandise Displayers and Window Trimmers","27-1026","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"219","Set and Exhibit Designers","27-1027","Bachelor's degree","None","None","2010"
"220","Designers, All Other","27-1029","Bachelor's degree","None","None","2010"
"221","Actors","27-2011","Some college, no degree","None","Long-term on-the-job training","2010"
"222","Producers and Directors","27-2012","Bachelor's degree","1 to 5 years","None","2010"
"223","Athletes and Sports Competitors","27-2021","High school diploma or equivalent","None","Long-term on-the-job training","2010"
"224","Coaches and Scouts","27-2022","High school diploma or equivalent","None","Long-term on-the-job training","2010"
"225","Umpires, Referees, and Other Sports Officials","27-2023","High school diploma or equivalent","None","Long-term on-the-job training","2010"
"226","Dancers","27-2031","High school diploma or equivalent","None","Long-term on-the-job training","2010"
"227","Choreographers","27-2032","High school diploma or equivalent","More than 5 years","Long-term on-the-job training","2010"
"228","Music Directors and Composers","27-2041","Bachelor's degree","1 to 5 years","None","2010"
"229","Musicians and Singers","27-2042","High school diploma or equivalent","None","Long-term on-the-job training","2010"
"230","Entertainers and Performers, Sports and Related Workers, All Other","27-2099","High school diploma or equivalent","None","None","2010"
"231","Radio and Television Announcers","27-3011","Bachelor's degree","None","None","2010"
"232","Public Address System and Other Announcers","27-3012","High school diploma or equivalent","None","Short-term on-the-job training","2010"
"233","Broadcast News Analysts","27-3021","Bachelor's degree","None","None","2010"
"234","Reporters and Correspondents","27-3022","Bachelor's degree","None","None","2010"
"235","Public Relations Specialists","27-3031","Bachelor's degree","None","Moderate-term on-the-job training","2010"
"236","Editors","27-3041","Bachelor's degree","1 to 5 years","None","2010"
"237","Technical Writers","27-3042","Bachelor's degree","1 to 5 years","Short-term on-the-job training","2010"
"238","Writers and Authors","27-3043","Bachelor's degree","None","Long-term on-the-job training","2010"
"239","Interpreters and Translators","27-3091","Bachelor's degree","None","Long-term on-the-job training","2010"
"240","Media and Communication Workers, All Other","27-3099","High school diploma or equivalent","None","Short-term on-the-job training","2010"
"241","Audio and Video Equipment Technicians","27-4011","Postsecondary non-degree award","None","Moderate-term on-the-job training","2010"
"242","Broadcast Technicians","27-4012","Associate's degree","None","Short-term on-the-job training","2010"
"243","Radio Operators","27-4013","High school diploma or equivalent","None","Short-term on-the-job training","2010"
"244","Sound Engineering Technicians","27-4014","Postsecondary non-degree award","None","Short-term on-the-job training","2010"
"245","Photographers","27-4021","High school diploma or equivalent","None","Long-term on-the-job training","2010"
"246","Camera Operators, Television, Video, and Motion Picture","27-4031","Bachelor's degree","None","Moderate-term on-the-job training","2010"
"247","Film and Video Editors","27-4032","Bachelor's degree","1 to 5 years","None","2010"
"248","Media and Communication Equipment Workers, All Other","27-4099","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"249","Chiropractors","29-1011","Doctoral or professional degree","None","None","2010"
"250","Dentists, General","29-1021","Doctoral or professional degree","None","Internship/residency","2010"
"251","Oral and Maxillofacial Surgeons","29-1022","Doctoral or professional degree","None","Internship/residency","2010"
"252","Orthodontists","29-1023","Doctoral or professional degree","None","Internship/residency","2010"
"253","Prosthodontists","29-1024","Doctoral or professional degree","None","Internship/residency","2010"
"254","Dentists, All Other Specialists","29-1029","Doctoral or professional degree","None","Internship/residency","2010"
"255","Dietitians and Nutritionists","29-1031","Bachelor's degree","None","Internship/residency","2010"
"256","Optometrists","29-1041","Doctoral or professional degree","None","None","2010"
"257","Pharmacists","29-1051","Doctoral or professional degree","None","None","2010"
"258","Physicians and Surgeons","29-1060","Doctoral or professional degree","None","Internship/residency","2010"
"259","Physician Assistants","29-1071","Master's degree","None","None","2010"
"260","Podiatrists","29-1081","Doctoral or professional degree","None","Internship/residency","2010"
"261","Registered Nurses","29-1111","Associate's degree","None","None","2010"
"262","Occupational Therapists","29-1122","Master's degree","None","None","2010"
"263","Physical Therapists","29-1123","Doctoral or professional degree","None","None","2010"
"264","Radiation Therapists","29-1124","Associate's degree","None","None","2010"
"265","Recreational Therapists","29-1125","Bachelor's degree","None","None","2010"
"266","Respiratory Therapists","29-1126","Associate's degree","None","None","2010"
"267","Speech-Language Pathologists","29-1127","Master's degree","None","None","2010"
"268","Therapists, All Other","29-1128","Master's degree","None","None","2010"
"269","Veterinarians","29-1131","Doctoral or professional degree","None","None","2010"
"270","Audiologists","29-1181","Doctoral or professional degree","None","None","2010"
"271","Health Diagnosing and Treating Practitioners, All Other","29-1199","Master's degree","None","None","2010"
"272","Medical and Clinical Laboratory Technologists","29-2011","Bachelor's degree","None","None","2010"
"273","Medical and Clinical Laboratory Technicians","29-2012","Associate's degree","None","None","2010"
"274","Dental Hygienists","29-2021","Associate's degree","None","None","2010"
"275","Cardiovascular Technologists and Technicians","29-2031","Associate's degree","None","None","2010"
"276","Diagnostic Medical Sonographers","29-2032","Associate's degree","None","None","2010"
"277","Nuclear Medicine Technologists","29-2033","Associate's degree","None","None","2010"
"278","Radiologic Technologists and Technicians","29-2037","Associate's degree","None","None","2010"
"279","Emergency Medical Technicians and Paramedics","29-2041","Postsecondary non-degree award","None","None","2010"
"280","Dietetic Technicians","29-2051","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"281","Pharmacy Technicians","29-2052","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"282","Psychiatric Technicians","29-2053","Postsecondary non-degree award","None","Short-term on-the-job training","2010"
"283","Respiratory Therapy Technicians","29-2054","Associate's degree","None","Moderate-term on-the-job training","2010"
"284","Surgical Technologists","29-2055","Postsecondary non-degree award","None","None","2010"
"285","Veterinary Technologists and Technicians","29-2056","Associate's degree","None","None","2010"
"286","Licensed Practical and Licensed Vocational Nurses","29-2061","Postsecondary non-degree award","None","None","2010"
"287","Medical Records and Health Information Technicians","29-2071","Postsecondary non-degree award","None","None","2010"
"288","Opticians, Dispensing","29-2081","High school diploma or equivalent","None","Long-term on-the-job training","2010"
"289","Orthotists and Prosthetists","29-2091","Master's degree","None","None","2010"
"290","Health Technologists and Technicians, All Other","29-2799","Postsecondary non-degree award","None","Short-term on-the-job training","2010"
"291","Occupational Health and Safety Specialists","29-9011","Bachelor's degree","None","Moderate-term on-the-job training","2010"
"292","Occupational Health and Safety Technicians","29-9012","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"293","Athletic Trainers","29-9091","Bachelor's degree","None","None","2010"
"294","Healthcare Practitioners and Technical Workers, All Other","29-9799","Bachelor's degree","None","None","2010"
"295","Home Health Aides","31-1011","Less than high school","None","Short-term on-the-job training","2010"
"296","Nursing Aides, Orderlies, and Attendants","31-1012","Postsecondary non-degree award","None","None","2010"
"297","Psychiatric Aides","31-1013","High school diploma or equivalent","None","Short-term on-the-job training","2010"
"298","Occupational Therapy Assistants","31-2011","Associate's degree","None","None","2010"
"299","Occupational Therapy Aides","31-2012","High school diploma or equivalent","None","Short-term on-the-job training","2010"
"300","Physical Therapist Assistants","31-2021","Associate's degree","None","None","2010"
"301","Physical Therapist Aides","31-2022","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"302","Massage Therapists","31-9011","Postsecondary non-degree award","None","None","2010"
"303","Dental Assistants","31-9091","Postsecondary non-degree award","None","None","2010"
"304","Medical Assistants","31-9092","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"305","Medical Equipment Preparers","31-9093","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"306","Medical Transcriptionists","31-9094","Postsecondary non-degree award","None","None","2010"
"307","Pharmacy Aides","31-9095","High school diploma or equivalent","None","Short-term on-the-job training","2010"
"308","Veterinary Assistants and Laboratory Animal Caretakers","31-9096","High school diploma or equivalent","None","Short-term on-the-job training","2010"
"309","Healthcare Support Workers, All Other","31-9799","High school diploma or equivalent","None","Short-term on-the-job training","2010"
"310","First-Line Supervisors of Correctional Officers","33-1011","High school diploma or equivalent","1 to 5 years","Moderate-term on-the-job training","2010"
"311","First-Line Supervisors of Police and Detectives","33-1012","High school diploma or equivalent","1 to 5 years","Moderate-term on-the-job training","2010"
"312","First-Line Supervisors of Fire Fighting and Prevention Workers","33-1021","Postsecondary non-degree award","1 to 5 years","None","2010"
"313","First-Line Supervisors of Protective Service Workers, All Other","33-1099","High school diploma or equivalent","1 to 5 years","None","2010"
"314","Firefighters","33-2011","Postsecondary non-degree award","None","Long-term on-the-job training","2010"
"315","Fire Inspectors and Investigators","33-2021","High school diploma or equivalent","More than 5 years","Moderate-term on-the-job training","2010"
"316","Forest Fire Inspectors and Prevention Specialists","33-2022","High school diploma or equivalent","More than 5 years","Moderate-term on-the-job training","2010"
"317","Bailiffs","33-3011","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"318","Correctional Officers and Jailers","33-3012","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"319","Detectives and Criminal Investigators","33-3021","High school diploma or equivalent","1 to 5 years","Moderate-term on-the-job training","2010"
"320","Fish and Game Wardens","33-3031","High school diploma or equivalent","None","Short-term on-the-job training","2010"
"321","Parking Enforcement Workers","33-3041","High school diploma or equivalent","None","Short-term on-the-job training","2010"
"322","Police and Sheriff's Patrol Officers","33-3051","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"323","Transit and Railroad Police","33-3052","High school diploma or equivalent","None","Short-term on-the-job training","2010"
"324","Animal Control Workers","33-9011","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"325","Private Detectives and Investigators","33-9021","Some college, no degree","1 to 5 years","Moderate-term on-the-job training","2010"
"326","Gaming Surveillance Officers and Gaming Investigators","33-9031","High school diploma or equivalent","None","Short-term on-the-job training","2010"
"327","Security Guards","33-9032","High school diploma or equivalent","None","Short-term on-the-job training","2010"
"328","Crossing Guards","33-9091","High school diploma or equivalent","None","Short-term on-the-job training","2010"
"329","Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers","33-9092","High school diploma or equivalent","None","Short-term on-the-job training","2010"
"330","Transportation Security Screeners (Federal Only)","33-9093","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
