"","employment","Total","median","code","less hs","high school","some college, no degree","associate","bachelor","master","doctor/professional","year","code2"
"46","Clergy",414,"52.5","21-2011","    8.69","   24.84","   52.16","   17.39","   99.77","  141.59","  69.14","2011","21-201"
"47","Directors, religious activities and education",44,"–","21-2021","    0.48","    4.00","    7.96","    2.33","   16.15","   10.03","   3.04","2011","21-202"
"48","Religious workers, all other",85,"51.5","21-2099","    2.81","    9.86","   16.83","    5.27","   27.20","   16.66","   6.38","2011","21-209"
"49","Paralegals and legal assistants",404,"42.8","23-2011","    4.44","   45.25","  101.81","   80.80","  138.17","   19.80","  13.33","2011","23-201"
"50","Librarians",198,"52","25-4021","    0.20","    0.40","   17.42","   10.30","   43.56","  116.23","   9.70","2011","25-402"
"51","Library technicians",37,"–","25-4031","    1.29","   12.99","    7.21","    3.44","    7.21","    4.25","   0.59","2011","25-403"
"52","Teacher assistants",950,"44.9","25-9041","   24.70","  279.30","  285.95","  131.10","  184.30","   38.95","   5.70","2011","25-904"
"53","Farmers, ranchers, and other agricultural managers",978,"55.9","2598276","  112.47","  378.49","  198.53","   79.22","  174.08","   26.41","   7.82","2011","259827"
"54","Construction managers",926,"46.9","2601198","   62.04","  249.09","  231.50","   71.30","  254.65","   50.00","   6.48","2011","260119"
"55","Architectural and engineering managers",106,"47.6","2608503","    0.32","    3.07","    8.27","    5.51","   49.93","   33.18","   5.83","2011","260850"
"56","Food service managers",1051,"39.700000000000003","2612155","   94.59","  306.89","  295.33","   94.59","  219.66","   34.68","   6.31","2011","261215"
"57","Gaming managers",23,"–","2619460","    0.67","    7.45","    8.35","    2.58","    3.43","    0.41","   0.12","2011","261946"
"58","Lodging managers",148,"46.7","2623113","    5.62","   29.16","   38.48","   14.36","   44.99","   13.02","   2.37","2011","262311"
"59","Medical and health services managers",529,"49.6","2634069","    4.76","   50.78","   86.23","   67.18","  162.93","  120.61","  36.50","2011","263406"
"60","Natural sciences managers",16,"–","2637722","    0.06","    0.35","    0.72","    0.54","    5.34","    4.00","   4.99","2011","263772"
"61","Property, real estate, and community association managers",587,"49.5","2645027","   25.83","  118.57","  162.01","   53.42","  168.47","   45.79","  12.91","2011","264502"
"62","Social and community service managers",329,"48.2","2648679","    4.94","   26.32","   49.68","   20.73","  118.77","   91.13","  17.11","2011","264867"
"63","Emergency management directors",5,"–","2652332","    0.06","    0.62","    0.98","    0.41","    2.06","    0.74","   0.12","2011","265233"
"64","Actors",28,"–","27-2011","    0.25","    4.12","    6.36","    1.29","   12.99","    2.69","   0.31","2011","27-201"
"65","Entertainers and performers, sports and related workers, all other",44,"–","27-2099","    1.72","    9.77","   11.62","    3.12","   13.95","    3.17","   0.62","2011","27-209"
"66","Public relations specialists",158,"39.200000000000003","27-3031","    0.79","    7.27","   17.22","    6.64","   87.06","   31.76","   7.43","2011","27-303"
"67","Editors",166,"41.4","27-3041","    0.83","    4.32","   15.11","    6.47","   95.45","   34.03","   9.63","2011","27-304"
"68","Photographers",148,"40.6","27-4021","    2.66","   19.68","   39.37","   15.84","   60.53","    8.58","   1.18","2011","27-402"
"69","Chiropractors",56,"48","29-1011","    0.00","    0.28","    0.39","    0.45","    1.74","    1.29","  51.86","2011","29-101"
"70","Dietitians and nutritionists",102,"47.7","29-1031","    3.06","   11.42","    7.14","    3.88","   40.90","   28.15","   7.45","2011","29-103"
"71","Optometrists",28,"–","29-1041","    0.00","    0.03","    0.03","    0.14","    0.56","    0.36","  26.91","2011","29-104"
"72","Pharmacists",274,"41.1","29-1051","    0.27","    0.55","    2.47","    1.92","  114.26","   15.34"," 139.19","2011","29-105"
"73","Physician assistants",82,"37.6","29-1071","    0.82","    2.62","    7.95","    9.68","   22.22","   27.39","  11.32","2011","29-107"
"74","Podiatrists",6,"–","29-1081","    0.00","    0.00","    0.00","    0.00","    0.04","    0.12","   5.84","2011","29-108"
"75","Occupational therapists",112,"41.7","29-1122","    0.00","    0.45","    0.78","    9.52","   54.99","   40.54","   5.71","2011","29-112"
"76","Veterinarians",71,"42.6","29-1131","    0.36","    0.57","    0.00","    0.21","    1.14","    1.35","  67.45","2011","29-113"
"77","Registered nurses",2706,"44.7","29-1141","    5.41","   27.06","  140.71"," 1030.99"," 1244.76","  208.36","  48.71","2011","29-114"
"78","Nurse anesthetists",33,"–","29-1151","    0.10","    0.16","    1.49","    1.35","    4.92","   21.19","   3.80","2011","29-115"
"79","Audiologists",19,"–","29-1181","    0.00","    0.38","    0.00","    0.08","    1.46","    6.67","  10.41","2011","29-118"
"80","Health diagnosing and treating practitioners, all other",26,"–","29-1199","    0.21","    0.70","    1.72","    0.70","    3.35","   11.83","   7.46","2011","29-119"
"81","Dental hygienists",148,"42.2","29-2021","    0.15","    4.29","    9.32","   81.10","   47.95","    2.66","   2.66","2011","29-202"
"82","Emergency medical technicians and paramedics",185,"31.8","29-2041","    1.66","   27.20","   91.39","   36.45","   23.87","    3.89","   0.56","2011","29-204"
"83","Licensed practical and licensed vocational nurses",560,"43.2","29-2061","    5.60","  104.72","  325.92","   97.44","   20.72","    3.92","   1.68","2011","29-206"
"84","Medical records and health information technicians",116,"42.7","29-2071","    2.44","   31.78","   41.76","   17.98","   18.33","    3.02","   0.93","2011","29-207"
"85","Opticians, dispensing",51,"45.9","29-2081","    1.48","   13.87","   17.03","    9.84","    7.09","    0.92","   0.76","2011","29-208"
"86","Massage therapists",146,"40.5","31-9011","    2.63","   27.16","   55.04","   23.07","   29.64","    5.40","   3.21","2011","31-901"
"87","Dental assistants",307,"36.299999999999997","31-9091","    9.21","   92.41","  127.71","   49.43","   20.26","    1.23","   6.45","2011","31-909"
"88","First-line supervisors of correctional officers",42,"–","33-1011","    0.38","   10.29","   13.61","    5.50","    9.03","    2.73","   0.46","2011","33-101"
"89","First-line supervisors of fire fighting and prevention workers",44,"–","33-1021","    0.18","    5.59","   17.51","   10.38","    8.23","    1.80","   0.26","2011","33-102"
"90","First-line supervisors of protective service workers, all other",111,"47.2","33-1099","    3.44","   23.98","   37.63","   13.65","   23.09","    7.44","   1.78","2011","33-109"
"91","Firefighters",305,"37.299999999999997","33-2011","    1.83","   50.02","  128.41","   61.61","   57.34","    5.19","   0.61","2011","33-201"
"92","Detectives and criminal investigators",151,"42.3","33-3021","    0.91","   12.23","   36.69","   20.08","   61.76","   16.31","   3.32","2011","33-302"
"93","Animal control workers",6,"–","33-9011","    0.15","    2.23","    2.05","    0.51","    0.85","    0.15","   0.06","2011","33-901"
"94","Private detectives and investigators",92,"41.3","33-9021","    0.74","   10.03","   24.47","   10.95","   34.13","    9.20","   2.39","2011","33-902"
"95","Crossing guards",59,"53.6","33-9091","   12.74","   25.72","   14.51","    2.71","    2.83","    0.47","   0.06","2011","33-909"
"96","Chefs and head cooks",347,"38.799999999999997","35-1011","   67.32","   99.59","   75.30","   56.21","   43.03","    3.82","   1.74","2011","35-101"
"97","Food preparation workers",784,"28","35-2021","  241.47","  301.06","  141.90","   37.63","   54.10","    7.06","   1.57","2011","35-202"
"98","Bartenders",392,"31.8","35-3011","   33.32","  109.76","  134.46","   34.50","   71.74","    6.66","   1.57","2011","35-301"
"99","Combined food preparation and serving workers, including fast food",326,"28.1","35-3021","   71.72","  147.03","   71.07","   16.63","   16.95","    2.28","   0.33","2011","35-302"
"100","Waiters and waitresses",2059,"26.1","35-3031","  298.56","  687.71","  601.23","  160.60","  267.67","   35.00","   6.18","2011","35-303"
"101","Food servers, nonrestaurant",181,"32.299999999999997","35-3041","   37.83","   75.48","   42.17","   10.32","   13.94","    0.72","   0.36","2011","35-304"
"102","Dishwashers",273,"28.3","35-9021","  124.22","  102.92","   30.30","    6.55","    7.37","    1.36","   0.55","2011","35-902"
"103","Hosts and hostesses, restaurant, lounge, and coffee shop",286,"21.4","35-9031","   42.61","   92.95","   74.93","   22.88","   46.33","    5.72","   0.57","2011","35-903"
"104","First-line supervisors of housekeeping and janitorial workers",292,"48.9","37-1011","   46.14","  120.30","   75.04","   19.56","   25.40","    4.67","   0.88","2011","37-101"
"105","Pest control workers",75,"41.3","37-2021","    6.90","   30.53","   23.78","    6.60","    5.92","    1.05","   0.22","2011","37-202"
"106","First-line supervisors of personal service workers",192,"43.1","39-1021","    9.41","   57.98","   55.30","   19.58","   40.51","    7.30","   1.92","2011","39-102"
"107","Animal trainers",49,"–","39-2011","    4.46","   15.29","   11.96","    3.77","   10.98","    1.81","   0.74","2011","39-201"
"108","Nonfarm animal caretakers",179,"37.200000000000003","39-2021","   17.54","   66.23","   50.12","   14.32","   25.96","    3.04","   1.79","2011","39-202"
"109","Motion picture projectionists",8,"–","39-3021","    0.32","    2.00","    1.99","    1.76","    1.70","    0.22","   0.00","2011","39-302"
"110","Ushers, lobby attendants, and ticket takers",46,"–","39-3031","    4.69","   15.18","   12.01","    3.63","    8.33","    1.98","   0.23","2011","39-303"
"111","Morticians, undertakers, and funeral directors",23,"–","39-4031","    0.34","    1.89","    4.69","    7.70","    6.42","    0.94","   0.99","2011","39-403"
"112","Barbers",89,"45.1","39-5011","   13.53","   41.83","   25.19","    4.98","    2.67","    0.53","   0.27","2011","39-501"
"113","Childcare workers",1231,"37.200000000000003","39-9011","  174.80","  406.23","  337.29","  120.64","  158.80","   28.31","   3.69","2011","39-901"
"114","Personal care aides",1057,"43.9","39-9021","  199.77","  366.78","  282.22","   83.50","  100.42","   17.97","   5.29","2011","39-902"
"115","Residential advisors",59,"38.6","39-9041","    3.13","   14.28","   18.94","    6.20","   11.03","    5.01","   0.35","2011","39-904"
"116","Personal care and service workers, all other",105,"33.200000000000003","39-9099","   11.34","   32.23","   30.66","    8.19","   18.48","    3.04","   0.94","2011","39-909"
"117","Administrative services managers",128,"48.9","406090","    1.66","   22.66","   37.25","   14.46","   35.33","   14.34","   2.43","2011","406090"
"118","Advertising and promotions managers",87,"39.200000000000003","40848","    1.39","    4.44","   12.09","    4.79","   52.63","   11.40","   0.35","2011","40848"
"119","Computer and information systems managers",553,"43.1","409743","    1.66","   21.01","   83.50","   44.79","  251.62","  138.25","  12.17","2011","409743"
"120","First-line supervisors of retail sales workers",3217,"42.6","41-1011","  196.24","  977.97","  939.36","  289.53","  682.00","  109.38","  22.52","2011","41-101"
"121","Counter and rental clerks",139,"38.200000000000003","41-2021","   17.65","   50.60","   36.14","   10.43","   20.71","    2.92","   0.70","2011","41-202"
"122","Retail salespersons",3224,"35.9","41-2031","  212.78","  970.42","  925.29","  286.94","  689.94","  119.29","  19.34","2011","41-203"
"123","Advertising sales agents",254,"39.6","41-3011","    4.57","   35.56","   56.39","   19.81","  119.13","   16.76","   2.03","2011","41-301"
"124","Insurance sales agents",531,"45.8","41-3021","    6.37","   81.77","  141.78","   48.85","  207.09","   33.98","  11.15","2011","41-302"
"125","Securities, commodities, and financial services sales agents",267,"41.7","41-3031","    2.67","   20.03","   41.65","   16.02","  136.70","   42.99","   7.21","2011","41-303"
"126","Travel agents",69,"51.1","41-3041","    1.31","   13.18","   21.25","    8.97","   19.60","    4.14","   0.48","2011","41-304"
"127","Sales representatives, services, all other",503,"40.700000000000003","41-3099","   11.57","   82.49","  132.79","   43.26","  194.66","   33.70","   4.53","2011","41-309"
"128","Sales engineers",30,"–","41-9031","    0.06","    1.05","    4.68","    3.66","   15.99","    4.32","   0.27","2011","41-903"
"129","Telemarketers",108,"30.5","41-9041","    7.34","   33.59","   37.15","   10.37","   15.88","    2.92","   0.76","2011","41-904"
"130","Door-to-door sales workers, news and street vendors, and related workers",201,"43.8","41-9091","   31.76","   63.52","   52.86","   14.87","   29.35","    6.23","   2.21","2011","41-909"
"131","Financial managers",1107,"43.6","413395","    8.86","  118.45","  222.51","   83.03","  446.12","  201.47","  25.46","2011","413395"
"132","Industrial production managers",259,"46.3","420700","    9.84","   52.84","   59.83","   21.50","   81.33","   30.30","   3.37","2011","420700"
"133","Purchasing managers",204,"48.7","424353","    2.24","   24.68","   43.66","   17.34","   77.11","   34.48","   4.49","2011","424353"
"134","Transportation, storage, and distribution managers",254,"43.8","428005","   12.19","   73.91","   73.41","   21.34","   57.15","   13.97","   2.29","2011","428005"
"135","First-line supervisors of office and administrative support workers",1423,"45.7","43-1011","   39.84","  335.83","  431.17","  159.38","  347.21","   91.07","  18.50","2011","43-101"
"136","Switchboard operators, including answering service",39,"–","43-2011","    1.95","   16.18","   13.38","    2.69","    3.94","    0.66","   0.16","2011","43-201"
"137","Telephone operators",40,"–","43-2021","    1.80","   13.96","   15.12","    4.08","    4.48","    0.44","   0.20","2011","43-202"
"138","Communications equipment operators, all other",7,"–","43-2099","    0.13","    1.25","    1.91","    0.95","    2.26","    0.44","   0.04","2011","43-209"
"139","Bill and account collectors",211,"38.9","43-3011","    8.44","   63.93","   76.80","   23.84","   31.65","    5.06","   1.27","2011","43-301"
"140","Billing and posting clerks",471,"42.2","43-3021","   13.19","  149.31","  167.21","   59.35","   67.82","   11.78","   1.88","2011","43-302"
"141","Bookkeeping, accounting, and auditing clerks",1300,"48.5","43-3031","   33.80","  396.50","  510.90","  131.30","  189.80","   32.50","   3.90","2011","43-303"
"142","Gaming cage workers",5,"–","43-3041","    0.46","    2.08","    1.56","    0.34","    0.51","    0.04","   0.00","2011","43-304"
"143","Payroll and timekeeping clerks",168,"46.1","43-3051","    2.35","   46.87","   64.68","   22.18","   28.73","    2.86","   0.34","2011","43-305"
"144","Procurement clerks",26,"–","43-3061","    0.47","    5.98","    9.20","    2.76","    5.85","    1.64","   0.10","2011","43-306"
"145","Tellers",413,"31.8","43-3071","    7.02","  155.70","  133.81","   44.60","   65.67","    5.78","   0.83","2011","43-307"
"146","Financial clerks, all other",64,"41.7","43-3099","    1.02","   15.94","   17.22","    5.76","   17.22","    6.34","   0.51","2011","43-309"
"147","Brokerage clerks",11,"–","43-4011","    0.09","    1.87","    3.59","    0.90","    4.29","    0.25","   0.00","2011","43-401"
"148","Court, municipal, and license clerks",86,"48.9","43-4031","    1.55","   25.71","   28.72","   13.85","   13.33","    1.72","   1.12","2011","43-403"
"149","Credit authorizers, checkers, and clerks",45,"–","43-4041","    1.12","   15.62","   13.95","    3.78","    8.01","    2.25","   0.27","2011","43-404"
"150","Customer service representatives",1916,"37","43-4051","   78.56","  524.98","  641.86","  208.84","  394.70","   59.40","   7.66","2011","43-405"
"151","Eligibility interviewers, government programs",85,"42.9","43-4061","    1.19","   11.13","   25.50","   11.98","   28.65","    5.53","   1.02","2011","43-406"
"152","File clerks",334,"40.799999999999997","43-4071","   13.03","   98.53","  107.21","   41.42","   59.12","   13.03","   1.67","2011","43-407"
"153","Hotel, motel, and resort desk clerks",135,"30.1","43-4081","   11.21","   43.34","   45.49","   10.94","   20.66","    3.24","   0.27","2011","43-408"
"154","Interviewers, except eligibility and loan",153,"40.799999999999997","43-4111","    2.91","   34.43","   54.77","   20.20","   30.29","    8.11","   2.14","2011","43-411"
"155","Library assistants, clerical",113,"44.8","43-4121","    1.58","   21.36","   28.82","   11.87","   38.87","    9.38","   1.13","2011","43-412"
"156","Loan interviewers and clerks",117,"40.4","43-4131","    2.46","   32.76","   43.17","   13.10","   23.17","    2.11","   0.23","2011","43-413"
"157","New accounts clerks",33,"–","43-4141","    0.56","   10.53","   11.22","    3.20","    6.37","    1.02","   0.07","2011","43-414"
"158","Human resources assistants, except payroll and timekeeping",40,"–","43-4161","    1.04","    7.96","   13.72","    5.60","    8.92","    2.60","   0.20","2011","43-416"
"159","Receptionists and information clerks",1259,"38.299999999999997","43-4171","   49.10","  453.24","  430.58","  138.49","  158.63","   25.18","   5.04","2011","43-417"
"160","Reservation and transportation ticket agents and travel clerks",99,"42.6","43-4181","    2.67","   24.65","   34.25","   10.20","   23.56","    3.17","   0.59","2011","43-418"
"161","Information and record clerks, all other",118,"45.7","43-4199","    2.48","   25.49","   42.36","   20.30","   22.66","    4.25","   0.59","2011","43-419"
"162","Cargo and freight agents",8,"–","43-5011","    0.63","    2.80","    2.26","    0.93","    1.10","    0.27","   0.00","2011","43-501"
"163","Couriers and messengers",249,"46.5","43-5021","   19.17","   89.14","   83.91","   23.41","   28.39","    3.49","   1.49","2011","43-502"
"164","Meter readers, utilities",28,"–","43-5041","    1.23","   12.04","    9.41","    2.58","    2.27","    0.45","   0.03","2011","43-504"
"165","Postal service clerks",146,"53.1","43-5051","    3.50","   48.76","   55.19","   14.16","   21.61","    2.63","   0.29","2011","43-505"
"166","Production, planning, and expediting clerks",236,"44.1","43-5061","    6.14","   61.60","   70.80","   28.79","   55.46","   12.27","   1.18","2011","43-506"
"167","Shipping, receiving, and traffic clerks",559,"40","43-5071","   80.50","  250.43","  148.69","   36.89","   37.45","    3.35","   1.12","2011","43-507"
"168","Stock clerks and order fillers",1503,"34.200000000000003","43-5081","  226.95","  649.30","  387.77","   99.20","  121.74","   15.03","   3.01","2011","43-508"
"169","Weighers, measurers, checkers, and samplers, recordkeeping",70,"44.9","43-5111","    9.10","   27.09","   20.23","    4.97","    7.14","    0.91","   0.56","2011","43-511"
"170","Computer operators",126,"48.9","43-9011","    3.65","   31.00","   38.93","   18.27","   28.73","    4.66","   0.76","2011","43-901"
"171","Data entry keyers",334,"40","43-9021","    9.35","  101.87","  116.90","   42.08","   54.11","    8.35","   1.34","2011","43-902"
"172","Insurance claims and policy processing clerks",246,"41.7","43-9041","    4.18","   68.88","   85.85","   29.27","   47.97","    7.63","   2.21","2011","43-904"
"173","Mail clerks and mail machine operators, except postal service",93,"43.7","43-9051","    9.86","   38.13","   26.60","    7.72","    8.74","    1.58","   0.37","2011","43-905"
"174","Office clerks, general",1061,"42.2","43-9061","   37.13","  331.03","  356.50","  128.38","  167.64","   32.89","   7.43","2011","43-906"
"175","Office machine operators, except computer",45,"–","43-9071","    3.20","   17.19","   13.59","    4.86","    5.22","    0.86","   0.04","2011","43-907"
"176","Proofreaders and copy markers",7,"–","43-9081","    0.04","    1.08","    1.30","    0.62","    2.86","    0.94","   0.17","2011","43-908"
"177","Statistical assistants",18,"–","43-9111","    0.27","    3.53","    6.21","    2.11","    4.64","    1.08","   0.18","2011","43-911"
"178","Compensation and benefits managers",21,"–","442614","    0.00","    1.91","    4.56","    1.85","    8.71","    3.68","   0.32","2011","442614"
"179","Human resources managers",243,"45.1","446267","    6.56","   30.13","   49.81","   18.71","   86.51","   44.71","   6.56","2011","446267"
"180","Training and development managers",38,"–","449919","    0.30","    2.66","    6.57","    3.19","   14.25","    9.69","   1.33","2011","449919"
"181","First-line supervisors of farming, fishing, and forestry workers",52,"51.8","45-1011","   15.60","   15.70","    8.32","    3.02","    7.54","    1.30","   0.47","2011","45-101"
"182","Agricultural inspectors",22,"–","45-2011","    2.33","    4.49","    4.91","    2.35","    6.56","    0.59","   0.75","2011","45-201"
"183","Graders and sorters, agricultural products",95,"43.1","45-2041","   56.05","   24.04","    8.84","    1.90","    3.52","    0.38","   0.19","2011","45-204"
"184","Forest and conservation workers",14,"–","45-4011","    3.46","    4.31","    2.42","    1.43","    1.76","    0.45","   0.18","2011","45-401"
"185","First-line supervisors of construction trades and extraction workers",634,"45.2","47-1011","   86.22","  270.08","  162.30","   44.38","   61.50","    8.24","   1.90","2011","47-101"
"186","Boilermakers",19,"–","47-2011","    1.71","    9.77","    5.00","    1.88","    0.53","    0.00","   0.11","2011","47-201"
"187","Carpenters",1330,"41.4","47-2031","  309.89","  574.56","  276.64","   73.15","   82.46","   10.64","   2.66","2011","47-203"
"188","Construction laborers",1253,"36.9","47-2061","  414.74","  508.72","  210.50","   50.12","   56.38","    8.77","   2.51","2011","47-206"
"189","Paving, surfacing, and tamping equipment operators",21,"–","47-2071","    8.25","    9.05","    2.96","    0.44","    0.29","    0.00","   0.00","2011","47-207"
"190","Electricians",682,"41.5","47-2111","   49.10","  269.39","  221.65","   92.75","   42.97","    5.46","   0.68","2011","47-211"
"191","Glaziers",48,"–","47-2121","   11.09","   22.18","   10.51","    1.97","    2.26","    0.00","   0.00","2011","47-212"
"192","Plasterers and stucco masons",24,"–","47-2161","   12.00","    7.99","    2.59","    0.84","    0.50","    0.00","   0.05","2011","47-216"
"193","Roofers",222,"34.200000000000003","47-2181","  101.68","   81.92","   26.42","    4.88","    5.99","    0.89","   0.22","2011","47-218"
"194","Sheet metal workers",126,"40","47-2211","   20.79","   59.60","   32.38","    8.95","    4.03","    0.25","   0.00","2011","47-221"
"195","Structural iron and steel workers",66,"38.5","47-2221","   12.21","   31.22","   16.57","    3.50","    2.24","    0.13","   0.07","2011","47-222"
"196","Construction and building inspectors",75,"50.7","47-4011","    1.50","   19.80","   24.30","    9.38","   16.05","    3.52","   0.45","2011","47-401"
"197","Elevator installers and repairers",30,"–","47-4021","    1.02","   13.86","   10.02","    3.54","    1.56","    0.00","   0.00","2011","47-402"
"198","Fence erectors",45,"–","47-4031","   16.56","   16.47","    8.01","    1.66","    1.94","    0.36","   0.00","2011","47-403"
"199","Hazardous materials removal workers",32,"–","47-4041","    6.88","   11.74","    7.20","    1.86","    3.36","    0.70","   0.22","2011","47-404"
"200","Highway maintenance workers",105,"45.3","47-4051","   15.86","   57.54","   23.52","    4.94","    2.84","    0.21","   0.00","2011","47-405"
"201","Rail-track laying and maintenance equipment operators",7,"–","47-4061","    0.76","    3.70","    1.33","    0.76","    0.44","    0.00","   0.00","2011","47-406"
"202","Earth drillers, except oil and gas",23,"–","47-5021","    3.63","   11.55","    5.31","    1.40","    1.06","    0.02","   0.02","2011","47-502"
"203","Explosives workers, ordnance handling experts, and blasters",9,"–","47-5031","    0.64","    3.73","    2.40","    1.12","    0.90","    0.15","   0.04","2011","47-503"
"204","Public relations and fundraising managers",63,"42.1","48153","    0.06","    2.14","    6.68","    2.02","   34.15","   15.44","   2.52","2011","48153"
