"","employment","code","less hs","high school","some college, no degree","associate","bachelor","master","doctor/professional","year"
"48","Management analysts","13-1111",0.7,4.9,12.1,5.2,42.1,28.4,6.7,"2014"
"49","Meeting, convention, and event planners","13-1121",1.2,9.9,19.7,7.6,50.2,10.8,0.6,"2014"
"50","Fundraisers","13-1131",0.5,3.1,8.1,3.5,53.8,26.5,4.5,"2014"
"51","Compensation, benefits, and job analysis specialists","13-1141",0.4,12.8,21.7,10.3,41.7,11.5,1.6,"2014"
"52","Training and development specialists","13-1151",1.7,10.6,22.6,10.3,35.2,17.6,1.9,"2014"
"53","Market research analysts and marketing specialists","13-1161",0.9,4.2,10,4.5,54.1,23.4,2.9,"2014"
"54","Business operations specialists, all other","13-1199",1.6,9.7,16.8,8.1,39.5,20,4.3,"2014"
"55","Accountants and auditors","13-2011",0,4.3,8.1,9.1,55.6,20.1,2.8,"2014"
"56","Appraisers and assessors of real estate","13-2021",0.7,10.6,25.6,9.2,41.8,9.9,2.2,"2014"
"57","Budget analysts","13-2031",0.6,6.8,13.1,7.2,40.9,27.7,3.6,"2014"
"58","Credit analysts","13-2041",0.5,10,17.4,7.6,44.8,18.4,1.2,"2014"
"59","Financial analysts","13-2051",0.3,2,5.9,3.2,51.8,33,3.8,"2014"
"60","Personal financial advisors","13-2052",0.4,4,10.6,4.8,53.4,21,5.7,"2014"
"61","Insurance underwriters","13-2053",0.6,13.9,19.8,8.5,46.8,8.4,2,"2014"
"62","Financial examiners","13-2061",0,6.6,4.9,6.5,56.2,23.8,2.1,"2014"
"63","Credit counselors(1)","13-2071",1,13.8,23.3,9.8,41,9.8,1.3,"2014"
"64","Loan officers(1)","13-2072",1,13.8,23.3,9.8,41,9.8,1.3,"2014"
"65","Tax examiners and collectors, and revenue agents","13-2081",1.4,16.2,24.2,8.7,37.1,11.2,1.2,"2014"
"66","Tax preparers","13-2082",1.7,12.5,24.4,9,32.9,14.2,5.4,"2014"
"67","Financial specialists, all other","13-2099",1.1,11.2,16.5,7.7,41.4,19.6,2.6,"2014"
"68","Computer and information research scientists","15-1111",0.2,1.3,2.1,0.4,43.6,32.2,20.2,"2014"
"69","Computer systems analysts","15-1121",0.5,4.6,13.6,8,47.2,23.4,2.8,"2014"
"70","Information security analysts","15-1122",0.8,5.3,15.9,9.3,46.8,20.2,1.7,"2014"
"71","Computer programmers","15-1131",0.5,4.2,13.7,8.4,51.2,19.5,2.4,"2014"
"72","Software developers, applications(1)","15-1132",0.3,2.2,8.5,5.1,49.2,30.5,4.1,"2014"
"73","Software developers, systems software(1)","15-1133",0.3,2.2,8.5,5.1,49.2,30.5,4.1,"2014"
"74","Web developers","15-1134",0.6,5.1,15.8,9.8,53.6,13.7,1.4,"2014"
"75","Database administrators","15-1141",0.5,5.9,13.2,8.2,45.7,23.6,2.8,"2014"
"76","Network and computer systems administrators","15-1142",0.5,6.6,23.9,15.5,40.7,11.3,1.3,"2014"
"77","Computer network architects","15-1143",0.7,6.7,23.1,12,40,15.9,1.7,"2014"
"78","Computer user support specialists(1)","15-1151",0.8,9.5,26.7,16.4,36.2,9.4,1,"2014"
"79","Computer network support specialists(1)","15-1152",0.8,9.5,26.7,16.4,36.2,9.4,1,"2014"
"80","Computer occupations, all other","15-1199",1.1,7.2,21.1,14.7,39,15.5,1.3,"2014"
"81","Actuaries","15-2011",0,0,1.2,0.7,63.5,23.6,11,"2014"
"82","Mathematicians(1)","15-2021",0.1,0.1,3.2,3,32.9,39,21.7,"2014"
"83","Operations research analysts","15-2031",0.6,6.1,15,7.1,39.7,27.4,4.1,"2014"
"84","Statisticians(1)","15-2041",0.1,0.1,3.2,3,32.9,39,21.7,"2014"
"85","Mathematical technicians(1)","15-2091",0.1,0.1,3.2,3,32.9,39,21.7,"2014"
"86","Mathematical science occupations, all other(1)","15-2099",0.1,0.1,3.2,3,32.9,39,21.7,"2014"
"87","Architects, except landscape and naval(1)","17-1011",0.3,1.6,4.6,2.9,49,34,7.5,"2014"
"88","Landscape architects(1)","17-1012",0.3,1.6,4.6,2.9,49,34,7.5,"2014"
"89","Cartographers and photogrammetrists(1)","17-1021",0.4,1.8,9.4,6.7,65.8,12.6,3.2,"2014"
"90","Surveyors(1)","17-1022",0.4,1.8,9.4,6.7,65.8,12.6,3.2,"2014"
"91","Aerospace engineers","17-2011",0.4,2.1,6.7,4.7,50,31.3,4.7,"2014"
"92","Agricultural engineers(1)","17-2021",0.5,1.9,5.3,14.1,39.3,29.4,9.4,"2014"
"93","Biomedical engineers(1)","17-2031",0.5,1.9,5.3,14.1,39.3,29.4,9.4,"2014"
"94","Chemical engineers","17-2041",0.1,2.8,3.7,3.1,57.3,25.5,7.6,"2014"
"95","Civil engineers","17-2051",0.4,3.2,5.9,4.8,55.4,26.2,4.1,"2014"
"96","Computer hardware engineers","17-2061",0.1,3.9,10.5,8.2,47.5,25.3,4.4,"2014"
"97","Electrical engineers(1)","17-2071",0.7,3.6,8.7,8.1,48.6,24.4,5.9,"2014"
"98","Electronics engineers, except computer(1)","17-2072",0.7,3.6,8.7,8.1,48.6,24.4,5.9,"2014"
"99","Environmental engineers","17-2081",0.4,4.4,4.9,3.2,48.3,33.9,4.9,"2014"
"100","Health and safety engineers, except mining safety engineers and inspectors(1)","17-2111",0.8,6.8,12.6,9.4,50.3,17.9,2.2,"2014"
"101","Industrial engineers(1)","17-2112",0.8,6.8,12.6,9.4,50.3,17.9,2.2,"2014"
"102","Marine engineers and naval architects","17-2121",1.8,8.9,10.8,7.5,48.3,19.7,3,"2014"
"103","Materials engineers","17-2131",0.7,5.3,13.1,9.4,45.4,18.2,8,"2014"
"104","Mechanical engineers","17-2141",0.6,4.6,9.5,9.3,51.6,20.9,3.4,"2014"
"105","Mining and geological engineers, including mining safety engineers(1)","17-2151",0.7,7.8,8,2.7,53.7,22.6,4.4,"2014"
"106","Nuclear engineers(1)","17-2161",0.5,2.8,7.5,6.4,49,26.6,7.2,"2014"
"107","Petroleum engineers(1)","17-2171",0.7,7.8,8,2.7,53.7,22.6,4.4,"2014"
"108","Engineers, all other(1)","17-2199",0.5,2.8,7.5,6.4,49,26.6,7.2,"2014"
"109","Architectural and civil drafters(1)","17-3011",1.2,10.4,27.6,32.7,22.8,4.5,0.8,"2014"
"110","Electrical and electronics drafters(1)","17-3012",1.2,10.4,27.6,32.7,22.8,4.5,0.8,"2014"
"111","Mechanical drafters(1)","17-3013",1.2,10.4,27.6,32.7,22.8,4.5,0.8,"2014"
"112","Drafters, all other(1)","17-3019",1.2,10.4,27.6,32.7,22.8,4.5,0.8,"2014"
"113","Aerospace engineering and operations technicians(1)","17-3021",3,21.8,33.4,22.6,15.8,2.8,0.6,"2014"
"114","Civil engineering technicians(1)","17-3022",3,21.8,33.4,22.6,15.8,2.8,0.6,"2014"
"115","Electrical and electronics engineering technicians(1)","17-3023",3,21.8,33.4,22.6,15.8,2.8,0.6,"2014"
"116","Electro-mechanical technicians(1)","17-3024",3,21.8,33.4,22.6,15.8,2.8,0.6,"2014"
"117","Environmental engineering technicians(1)","17-3025",3,21.8,33.4,22.6,15.8,2.8,0.6,"2014"
"118","Industrial engineering technicians(1)","17-3026",3,21.8,33.4,22.6,15.8,2.8,0.6,"2014"
"119","Mechanical engineering technicians(1)","17-3027",3,21.8,33.4,22.6,15.8,2.8,0.6,"2014"
"120","Engineering technicians, except drafters, all other(1)","17-3029",3,21.8,33.4,22.6,15.8,2.8,0.6,"2014"
"121","Surveying and mapping technicians","17-3031",6.4,26.1,37.6,21.4,7.6,0.7,0.1,"2014"
"122","Animal scientists(1)","19-1011",0,0,0,0,56.4,27.6,16,"2014"
"123","Food scientists and technologists(1)","19-1012",0,0,0,0,56.4,27.6,16,"2014"
"124","Soil and plant scientists(1)","19-1013",0,0,0,0,56.4,27.6,16,"2014"
"125","Biochemists and biophysicists(1)","19-1021",0,0,0,0,46.4,31.9,21.7,"2014"
"126","Microbiologists(1)","19-1022",0,0,0,0,46.4,31.9,21.7,"2014"
"127","Zoologists and wildlife biologists(1)","19-1023",0,0,0,0,46.4,31.9,21.7,"2014"
"128","Biological scientists, all other(1)","19-1029",0,0,0,0,46.4,31.9,21.7,"2014"
"129","Conservation scientists(1)","19-1031",0,0,0,0,73.4,21,5.6,"2014"
"130","Foresters(1)","19-1032",0,0,0,0,73.4,21,5.6,"2014"
"131","Epidemiologists(1)","19-1041",0.4,0.6,0.5,0.9,19.3,23.8,54.5,"2014"
"132","Medical scientists, except epidemiologists(1)","19-1042",0.4,0.6,0.5,0.9,19.3,23.8,54.5,"2014"
"133","Life scientists, all other(1)","19-1099",0.4,0.6,0.5,0.9,19.3,23.8,54.5,"2014"
"134","Astronomers(1)","19-2011",0,0,0,0,17.6,28.8,53.6,"2014"
"135","Physicists(1)","19-2012",0,0,0,0,17.6,28.8,53.6,"2014"
"136","Atmospheric and space scientists","19-2021",0,1.2,6.5,3.8,48.6,23.7,16.2,"2014"
"137","Chemists(1)","19-2031",0.4,2,2.7,1.6,54.1,22,17.2,"2014"
"138","Materials scientists(1)","19-2032",0.4,2,2.7,1.6,54.1,22,17.2,"2014"
"139","Environmental scientists and specialists, including health(1)","19-2041",0,0,0,0,53.4,34.4,12.2,"2014"
"140","Geoscientists, except hydrologists and geographers(1)","19-2042",0,0,0,0,53.4,34.4,12.2,"2014"
"141","Hydrologists(1)","19-2043",0,0,0,0,53.4,34.4,12.2,"2014"
"142","Physical scientists, all other","19-2099",0,0,0,0,26.6,22.7,50.7,"2014"
"143","Economists","19-3011",0,0,0,0,22.8,47.7,29.5,"2014"
"144","Survey researchers(1)","19-3022",0.4,3,7.6,2.7,36.1,36.2,14.1,"2014"
"145","Clinical, counseling, and school psychologists(1)","19-3031",0,0,0,0,6.9,41.3,51.8,"2014"
"146","Industrial-organizational psychologists(1)","19-3032",0,0,0,0,6.9,41.3,51.8,"2014"
"147","Psychologists, all other(1)","19-3039",0,0,0,0,6.9,41.3,51.8,"2014"
"148","Sociologists(1)","19-3041",0.4,3,7.6,2.7,36.1,36.2,14.1,"2014"
"149","Urban and regional planners","19-3051",1.4,1,6.4,2.5,38.6,45.6,4.5,"2014"
"150","Anthropologists and archeologists(1)","19-3091",0.4,3,7.6,2.7,36.1,36.2,14.1,"2014"
"151","Geographers(1)","19-3092",0.4,3,7.6,2.7,36.1,36.2,14.1,"2014"
"152","Historians(1)","19-3093",0.4,3,7.6,2.7,36.1,36.2,14.1,"2014"
"153","Political scientists(1)","19-3094",0.4,3,7.6,2.7,36.1,36.2,14.1,"2014"
"154","Social scientists and related workers, all other(1)","19-3099",0.4,3,7.6,2.7,36.1,36.2,14.1,"2014"
"155","Agricultural and food science technicians","19-4011",8.2,20,30.6,12.7,22.8,3.6,2.1,"2014"
"156","Biological technicians","19-4021",4.4,17.6,23.6,16,28.4,5.1,4.8,"2014"
"157","Chemical technicians","19-4031",3.2,22.8,26.7,11.1,27.1,5.7,3.4,"2014"
"158","Geological and petroleum technicians(1)","19-4041",3.4,21.5,27,15.2,26.3,4.9,1.8,"2014"
"159","Nuclear technicians(1)","19-4051",3.4,21.5,27,15.2,26.3,4.9,1.8,"2014"
"160","Social science research assistants(1)","19-4061",2.8,15.7,20.3,13.2,33.5,10.8,3.7,"2014"
"161","Environmental science and protection technicians, including health(1)","19-4091",2.8,15.7,20.3,13.2,33.5,10.8,3.7,"2014"
"162","Forensic science technicians(1)","19-4092",2.8,15.7,20.3,13.2,33.5,10.8,3.7,"2014"
"163","Forest and conservation technicians(1)","19-4093",2.8,15.7,20.3,13.2,33.5,10.8,3.7,"2014"
"164","Life, physical, and social science technicians, all other(1)","19-4099",2.8,15.7,20.3,13.2,33.5,10.8,3.7,"2014"
"165","Substance abuse and behavioral disorder counselors(1)","21-1011",1,5.1,9.1,5.2,25.5,48.7,5.4,"2014"
"166","Educational, guidance, school, and vocational counselors(1)","21-1012",1,5.1,9.1,5.2,25.5,48.7,5.4,"2014"
"167","Marriage and family therapists(1)","21-1013",1,5.1,9.1,5.2,25.5,48.7,5.4,"2014"
"168","Mental health counselors(1)","21-1014",1,5.1,9.1,5.2,25.5,48.7,5.4,"2014"
"169","Rehabilitation counselors(1)","21-1015",1,5.1,9.1,5.2,25.5,48.7,5.4,"2014"
"170","Counselors, all other(1)","21-1019",1,5.1,9.1,5.2,25.5,48.7,5.4,"2014"
"171","Child, family, and school social workers(1)","21-1021",1.2,5.7,9.2,6.2,40.6,35.3,1.9,"2014"
"172","Healthcare social workers(1)","21-1022",1.2,5.7,9.2,6.2,40.6,35.3,1.9,"2014"
"173","Mental health and substance abuse social workers(1)","21-1023",1.2,5.7,9.2,6.2,40.6,35.3,1.9,"2014"
"174","Social workers, all other(1)","21-1029",1.2,5.7,9.2,6.2,40.6,35.3,1.9,"2014"
"175","Health educators(1)","21-1091",2,12.8,19.4,9.5,32.9,19.9,3.5,"2014"
"176","Probation officers and correctional treatment specialists","21-1092",0.7,6,9.4,5.5,59,18.2,1,"2014"
"177","Social and human service assistants","21-1093",2.7,14.9,24.7,10.9,33.1,11.9,1.8,"2014"
"178","Community health workers(1)","21-1094",2,12.8,19.4,9.5,32.9,19.9,3.5,"2014"
"179","Community and social service specialists, all other(1)","21-1099",2,12.8,19.4,9.5,32.9,19.9,3.5,"2014"
"180","Clergy","21-2011",2.9,6.1,11.5,4.2,24.7,35.6,15,"2014"
"181","Directors, religious activities and education","21-2021",1.2,10.3,16.6,6.8,36.8,23.2,5.1,"2014"
"182","Religious workers, all other","21-2099",2.4,13.3,19.3,8.3,33,17.6,6.1,"2014"
"183","Lawyers(1)","23-1011",0.1,0.5,0.7,0.4,5.1,4.5,88.7,"2014"
"184","Judicial law clerks","23-1012",0.1,0.7,4.3,1.8,15.6,3.7,73.8,"2014"
"185","Administrative law judges, adjudicators, and hearing officers(1)","23-1021",0.1,0.5,0.7,0.4,5.1,4.5,88.7,"2014"
"186","Arbitrators, mediators, and conciliators(1)","23-1022",0.1,0.5,0.7,0.4,5.1,4.5,88.7,"2014"
"187","Judges, magistrate judges, and magistrates(1)","23-1023",0.1,0.5,0.7,0.4,5.1,4.5,88.7,"2014"
"188","Paralegals and legal assistants","23-2011",0.9,9.6,24.6,20.3,35.2,6.2,3.1,"2014"
"189","Court reporters(1)","23-2091",1.6,17.3,25.2,14.1,30.2,7.6,4.1,"2014"
"190","Title examiners, abstractors, and searchers(1)","23-2093",1.6,17.3,25.2,14.1,30.2,7.6,4.1,"2014"
"191","Legal support workers, all other(1)","23-2099",1.6,17.3,25.2,14.1,30.2,7.6,4.1,"2014"
"192","Business teachers, postsecondary(1)","25-1011",0.5,1.3,2.4,2.1,16.5,33.6,43.7,"2014"
"193","Computer science teachers, postsecondary(1)","25-1021",0.5,1.3,2.4,2.1,16.5,33.6,43.7,"2014"
"194","Mathematical science teachers, postsecondary(1)","25-1022",0.5,1.3,2.4,2.1,16.5,33.6,43.7,"2014"
"195","Architecture teachers, postsecondary(1)","25-1031",0.5,1.3,2.4,2.1,16.5,33.6,43.7,"2014"
"196","Engineering teachers, postsecondary(1)","25-1032",0.5,1.3,2.4,2.1,16.5,33.6,43.7,"2014"
"197","Agricultural sciences teachers, postsecondary(1)","25-1041",0.5,1.3,2.4,2.1,16.5,33.6,43.7,"2014"
"198","Biological science teachers, postsecondary(1)","25-1042",0.5,1.3,2.4,2.1,16.5,33.6,43.7,"2014"
"199","Forestry and conservation science teachers, postsecondary(1)","25-1043",0.5,1.3,2.4,2.1,16.5,33.6,43.7,"2014"
"200","Atmospheric, earth, marine, and space sciences teachers, postsecondary(1)","25-1051",0.5,1.3,2.4,2.1,16.5,33.6,43.7,"2014"
"201","Chemistry teachers, postsecondary(1)","25-1052",0.5,1.3,2.4,2.1,16.5,33.6,43.7,"2014"
"202","Environmental science teachers, postsecondary(1)","25-1053",0.5,1.3,2.4,2.1,16.5,33.6,43.7,"2014"
"203","Physics teachers, postsecondary(1)","25-1054",0.5,1.3,2.4,2.1,16.5,33.6,43.7,"2014"
"204","Anthropology and archeology teachers, postsecondary(1)","25-1061",0.5,1.3,2.4,2.1,16.5,33.6,43.7,"2014"
"205","Area, ethnic, and cultural studies teachers, postsecondary(1)","25-1062",0.5,1.3,2.4,2.1,16.5,33.6,43.7,"2014"
"206","Economics teachers, postsecondary(1)","25-1063",0.5,1.3,2.4,2.1,16.5,33.6,43.7,"2014"
"207","Geography teachers, postsecondary(1)","25-1064",0.5,1.3,2.4,2.1,16.5,33.6,43.7,"2014"
"208","Political science teachers, postsecondary(1)","25-1065",0.5,1.3,2.4,2.1,16.5,33.6,43.7,"2014"
"209","Psychology teachers, postsecondary(1)","25-1066",0.5,1.3,2.4,2.1,16.5,33.6,43.7,"2014"
"210","Sociology teachers, postsecondary(1)","25-1067",0.5,1.3,2.4,2.1,16.5,33.6,43.7,"2014"
"211","Social sciences teachers, postsecondary, all other(1)","25-1069",0.5,1.3,2.4,2.1,16.5,33.6,43.7,"2014"
"212","Health specialties teachers, postsecondary(1)","25-1071",0.5,1.3,2.4,2.1,16.5,33.6,43.7,"2014"
"213","Nursing instructors and teachers, postsecondary(1)","25-1072",0.5,1.3,2.4,2.1,16.5,33.6,43.7,"2014"
"214","Education teachers, postsecondary(1)","25-1081",0.5,1.3,2.4,2.1,16.5,33.6,43.7,"2014"
"215","Library science teachers, postsecondary(1)","25-1082",0.5,1.3,2.4,2.1,16.5,33.6,43.7,"2014"
"216","Criminal justice and law enforcement teachers, postsecondary(1)","25-1111",0.5,1.3,2.4,2.1,16.5,33.6,43.7,"2014"
"217","Law teachers, postsecondary(1)","25-1112",0.5,1.3,2.4,2.1,16.5,33.6,43.7,"2014"
"218","Social work teachers, postsecondary(1)","25-1113",0.5,1.3,2.4,2.1,16.5,33.6,43.7,"2014"
"219","Art, drama, and music teachers, postsecondary(1)","25-1121",0.5,1.3,2.4,2.1,16.5,33.6,43.7,"2014"
"220","Communications teachers, postsecondary(1)","25-1122",0.5,1.3,2.4,2.1,16.5,33.6,43.7,"2014"
"221","English language and literature teachers, postsecondary(1)","25-1123",0.5,1.3,2.4,2.1,16.5,33.6,43.7,"2014"
"222","Foreign language and literature teachers, postsecondary(1)","25-1124",0.5,1.3,2.4,2.1,16.5,33.6,43.7,"2014"
"223","History teachers, postsecondary(1)","25-1125",0.5,1.3,2.4,2.1,16.5,33.6,43.7,"2014"
"224","Philosophy and religion teachers, postsecondary(1)","25-1126",0.5,1.3,2.4,2.1,16.5,33.6,43.7,"2014"
"225","Graduate teaching assistants(1)","25-1191",0.5,1.3,2.4,2.1,16.5,33.6,43.7,"2014"
"226","Home economics teachers, postsecondary(1)","25-1192",0.5,1.3,2.4,2.1,16.5,33.6,43.7,"2014"
"227","Recreation and fitness studies teachers, postsecondary(1)","25-1193",0.5,1.3,2.4,2.1,16.5,33.6,43.7,"2014"
"228","Vocational education teachers, postsecondary(1)","25-1194",0.5,1.3,2.4,2.1,16.5,33.6,43.7,"2014"
"229","Postsecondary teachers, all other(1)","25-1199",0.5,1.3,2.4,2.1,16.5,33.6,43.7,"2014"
"230","Preschool teachers, except special education(1)","25-2011",1.4,12.6,23,15.6,33.2,13,1.1,"2014"
"231","Kindergarten teachers, except special education(1)","25-2012",1.4,12.6,23,15.6,33.2,13,1.1,"2014"
"232","Elementary school teachers, except special education(1)","25-2021",0,0,3.2,2.1,43.7,46.9,4.1,"2014"
"233","Middle school teachers, except special and career/technical education(1)","25-2022",0,0,3.2,2.1,43.7,46.9,4.1,"2014"
"234","Career/technical education teachers, middle school(1)","25-2023",0,0,3.2,2.1,43.7,46.9,4.1,"2014"
"235","Secondary school teachers, except special and career/technical education(1)","25-2031",0,0,2.9,1.6,41.6,49.5,4.4,"2014"
"236","Career/technical education teachers, secondary school(1)","25-2032",0,0,2.9,1.6,41.6,49.5,4.4,"2014"
"237","Special education teachers, preschool(1)","25-2051",0.8,4.2,6.9,4.7,34.4,46.2,2.8,"2014"
"238","Special education teachers, kindergarten and elementary school(1)","25-2052",0.8,4.2,6.9,4.7,34.4,46.2,2.8,"2014"
"239","Special education teachers, middle school(1)","25-2053",0.8,4.2,6.9,4.7,34.4,46.2,2.8,"2014"
"240","Special education teachers, secondary school(1)","25-2054",0.8,4.2,6.9,4.7,34.4,46.2,2.8,"2014"
"241","Special education teachers, all other(1)","25-2059",0.8,4.2,6.9,4.7,34.4,46.2,2.8,"2014"
"242","Adult basic and secondary education and literacy teachers and instructors(1)","25-3011",1.5,10.1,19.1,8.1,35.9,20.7,4.6,"2014"
"243","Self-enrichment education teachers(1)","25-3021",1.5,10.1,19.1,8.1,35.9,20.7,4.6,"2014"
"244","Teachers and instructors, all other(1)","25-3099",1.5,10.1,19.1,8.1,35.9,20.7,4.6,"2014"
"245","Archivists(1)","25-4011",0.8,5,9.2,3.8,32.1,40.9,8.3,"2014"
"246","Curators(1)","25-4012",0.8,5,9.2,3.8,32.1,40.9,8.3,"2014"
"247","Museum technicians and conservators(1)","25-4013",0.8,5,9.2,3.8,32.1,40.9,8.3,"2014"
"248","Librarians","25-4021",0.4,1.9,8.2,5,23.8,56.1,4.8,"2014"
"249","Library technicians","25-4031",2.6,36.8,18.4,7.8,23.2,10.8,0.5,"2014"
"250","Audio-visual and multimedia collections specialists(1)","25-9011",0.5,4.5,9,5.1,29.7,42.5,8.7,"2014"
"251","Farm and home management advisors(1)","25-9021",0.5,4.5,9,5.1,29.7,42.5,8.7,"2014"
"252","Instructional coordinators(1)","25-9031",0.5,4.5,9,5.1,29.7,42.5,8.7,"2014"
"253","Teacher assistants","25-9041",4.2,29.7,27.2,13.8,20.3,4.2,0.6,"2014"
"254","Education, training, and library workers, all other(1)","25-9099",0.5,4.5,9,5.1,29.7,42.5,8.7,"2014"
"255","Art directors(1)","27-1011",2.1,10.7,19.7,8.8,45.7,11.3,1.7,"2014"
"256","Craft artists(1)","27-1012",2.1,10.7,19.7,8.8,45.7,11.3,1.7,"2014"
"257","Fine artists, including painters, sculptors, and illustrators(1)","27-1013",2.1,10.7,19.7,8.8,45.7,11.3,1.7,"2014"
"258","Multimedia artists and animators(1)","27-1014",2.1,10.7,19.7,8.8,45.7,11.3,1.7,"2014"
"259","Artists and related workers, all other(1)","27-1019",2.1,10.7,19.7,8.8,45.7,11.3,1.7,"2014"
"260","Commercial and industrial designers(1)","27-1021",2.2,10,16.8,12.8,48,8.8,1.4,"2014"
"261","Fashion designers(1)","27-1022",2.2,10,16.8,12.8,48,8.8,1.4,"2014"
"262","Floral designers(1)","27-1023",2.2,10,16.8,12.8,48,8.8,1.4,"2014"
"263","Graphic designers(1)","27-1024",2.2,10,16.8,12.8,48,8.8,1.4,"2014"
"264","Interior designers(1)","27-1025",2.2,10,16.8,12.8,48,8.8,1.4,"2014"
"265","Merchandise displayers and window trimmers(1)","27-1026",2.2,10,16.8,12.8,48,8.8,1.4,"2014"
"266","Set and exhibit designers(1)","27-1027",2.2,10,16.8,12.8,48,8.8,1.4,"2014"
