employment,code,degrees,number,year
Music directors and composers(1),27-2041,less hs,4,2012
Music directors and composers(1),27-2041,high school,13.8,2012
Music directors and composers(1),27-2041,"some college, no degree",22.2,2012
Music directors and composers(1),27-2041,associate,5.2,2012
Music directors and composers(1),27-2041,bachelor,30.8,2012
Music directors and composers(1),27-2041,master,19.3,2012
Music directors and composers(1),27-2041,doctor/professional,4.7,2012
Musicians and singers(1),27-2042,less hs,4,2012
Musicians and singers(1),27-2042,high school,13.8,2012
Musicians and singers(1),27-2042,"some college, no degree",22.2,2012
Musicians and singers(1),27-2042,associate,5.2,2012
Musicians and singers(1),27-2042,bachelor,30.8,2012
Musicians and singers(1),27-2042,master,19.3,2012
Musicians and singers(1),27-2042,doctor/professional,4.7,2012
"Entertainers and performers, sports and related workers, all other",27-2099,less hs,4.4,2012
"Entertainers and performers, sports and related workers, all other",27-2099,high school,20.5,2012
"Entertainers and performers, sports and related workers, all other",27-2099,"some college, no degree",28.8,2012
"Entertainers and performers, sports and related workers, all other",27-2099,associate,7.7,2012
"Entertainers and performers, sports and related workers, all other",27-2099,bachelor,30.4,2012
"Entertainers and performers, sports and related workers, all other",27-2099,master,5.7,2012
"Entertainers and performers, sports and related workers, all other",27-2099,doctor/professional,2.5,2012
Radio and television announcers(1),27-3011,less hs,4.8,2012
Radio and television announcers(1),27-3011,high school,17,2012
Radio and television announcers(1),27-3011,"some college, no degree",33.3,2012
Radio and television announcers(1),27-3011,associate,8.7,2012
Radio and television announcers(1),27-3011,bachelor,27.7,2012
Radio and television announcers(1),27-3011,master,6.6,2012
Radio and television announcers(1),27-3011,doctor/professional,2,2012
Public address system and other announcers(1),27-3012,less hs,4.8,2012
Public address system and other announcers(1),27-3012,high school,17,2012
Public address system and other announcers(1),27-3012,"some college, no degree",33.3,2012
Public address system and other announcers(1),27-3012,associate,8.7,2012
Public address system and other announcers(1),27-3012,bachelor,27.7,2012
Public address system and other announcers(1),27-3012,master,6.6,2012
Public address system and other announcers(1),27-3012,doctor/professional,2,2012
Broadcast news analysts(1),27-3021,less hs,0.7,2012
Broadcast news analysts(1),27-3021,high school,3.4,2012
Broadcast news analysts(1),27-3021,"some college, no degree",7.4,2012
Broadcast news analysts(1),27-3021,associate,2.3,2012
Broadcast news analysts(1),27-3021,bachelor,64.3,2012
Broadcast news analysts(1),27-3021,master,18.8,2012
Broadcast news analysts(1),27-3021,doctor/professional,3.2,2012
Reporters and correspondents(1),27-3022,less hs,0.7,2012
Reporters and correspondents(1),27-3022,high school,3.4,2012
Reporters and correspondents(1),27-3022,"some college, no degree",7.4,2012
Reporters and correspondents(1),27-3022,associate,2.3,2012
Reporters and correspondents(1),27-3022,bachelor,64.3,2012
Reporters and correspondents(1),27-3022,master,18.8,2012
Reporters and correspondents(1),27-3022,doctor/professional,3.2,2012
Public relations specialists,27-3031,less hs,0.6,2012
Public relations specialists,27-3031,high school,3.7,2012
Public relations specialists,27-3031,"some college, no degree",9.5,2012
Public relations specialists,27-3031,associate,4.8,2012
Public relations specialists,27-3031,bachelor,56.5,2012
Public relations specialists,27-3031,master,20.5,2012
Public relations specialists,27-3031,doctor/professional,4.3,2012
Editors,27-3041,less hs,0.5,2012
Editors,27-3041,high school,3.1,2012
Editors,27-3041,"some college, no degree",9.1,2012
Editors,27-3041,associate,4.3,2012
Editors,27-3041,bachelor,59,2012
Editors,27-3041,master,19.3,2012
Editors,27-3041,doctor/professional,4.7,2012
Technical writers,27-3042,less hs,0.2,2012
Technical writers,27-3042,high school,4,2012
Technical writers,27-3042,"some college, no degree",11.8,2012
Technical writers,27-3042,associate,6.5,2012
Technical writers,27-3042,bachelor,49.5,2012
Technical writers,27-3042,master,21.2,2012
Technical writers,27-3042,doctor/professional,6.9,2012
Writers and authors,27-3043,less hs,0.3,2012
Writers and authors,27-3043,high school,3,2012
Writers and authors,27-3043,"some college, no degree",9.6,2012
Writers and authors,27-3043,associate,2.8,2012
Writers and authors,27-3043,bachelor,51.1,2012
Writers and authors,27-3043,master,24.4,2012
Writers and authors,27-3043,doctor/professional,8.8,2012
Interpreters and translators(1),27-3091,less hs,2.9,2012
Interpreters and translators(1),27-3091,high school,11.3,2012
Interpreters and translators(1),27-3091,"some college, no degree",22.4,2012
Interpreters and translators(1),27-3091,associate,13.6,2012
Interpreters and translators(1),27-3091,bachelor,30.9,2012
Interpreters and translators(1),27-3091,master,14.4,2012
Interpreters and translators(1),27-3091,doctor/professional,4.5,2012
"Media and communication workers, all other(1)",27-3099,less hs,2.9,2012
"Media and communication workers, all other(1)",27-3099,high school,11.3,2012
"Media and communication workers, all other(1)",27-3099,"some college, no degree",22.4,2012
"Media and communication workers, all other(1)",27-3099,associate,13.6,2012
"Media and communication workers, all other(1)",27-3099,bachelor,30.9,2012
"Media and communication workers, all other(1)",27-3099,master,14.4,2012
"Media and communication workers, all other(1)",27-3099,doctor/professional,4.5,2012
Audio and video equipment technicians(1),27-4011,less hs,3.1,2012
Audio and video equipment technicians(1),27-4011,high school,14.8,2012
Audio and video equipment technicians(1),27-4011,"some college, no degree",28.4,2012
Audio and video equipment technicians(1),27-4011,associate,16.2,2012
Audio and video equipment technicians(1),27-4011,bachelor,32.9,2012
Audio and video equipment technicians(1),27-4011,master,3.8,2012
Audio and video equipment technicians(1),27-4011,doctor/professional,0.6,2012
Broadcast technicians(1),27-4012,less hs,3.1,2012
Broadcast technicians(1),27-4012,high school,14.8,2012
Broadcast technicians(1),27-4012,"some college, no degree",28.4,2012
Broadcast technicians(1),27-4012,associate,16.2,2012
Broadcast technicians(1),27-4012,bachelor,32.9,2012
Broadcast technicians(1),27-4012,master,3.8,2012
Broadcast technicians(1),27-4012,doctor/professional,0.6,2012
Radio operators(1),27-4013,less hs,3.1,2012
Radio operators(1),27-4013,high school,14.8,2012
Radio operators(1),27-4013,"some college, no degree",28.4,2012
Radio operators(1),27-4013,associate,16.2,2012
Radio operators(1),27-4013,bachelor,32.9,2012
Radio operators(1),27-4013,master,3.8,2012
Radio operators(1),27-4013,doctor/professional,0.6,2012
Sound engineering technicians(1),27-4014,less hs,3.1,2012
Sound engineering technicians(1),27-4014,high school,14.8,2012
Sound engineering technicians(1),27-4014,"some college, no degree",28.4,2012
Sound engineering technicians(1),27-4014,associate,16.2,2012
Sound engineering technicians(1),27-4014,bachelor,32.9,2012
Sound engineering technicians(1),27-4014,master,3.8,2012
Sound engineering technicians(1),27-4014,doctor/professional,0.6,2012
Photographers,27-4021,less hs,2.4,2012
Photographers,27-4021,high school,11.7,2012
Photographers,27-4021,"some college, no degree",22.8,2012
Photographers,27-4021,associate,10.2,2012
Photographers,27-4021,bachelor,44.1,2012
Photographers,27-4021,master,7,2012
Photographers,27-4021,doctor/professional,1.7,2012
"Camera operators, television, video, and motion picture(1)",27-4031,less hs,0.7,2012
"Camera operators, television, video, and motion picture(1)",27-4031,high school,9.3,2012
"Camera operators, television, video, and motion picture(1)",27-4031,"some college, no degree",18.9,2012
"Camera operators, television, video, and motion picture(1)",27-4031,associate,8.8,2012
"Camera operators, television, video, and motion picture(1)",27-4031,bachelor,53,2012
"Camera operators, television, video, and motion picture(1)",27-4031,master,8.3,2012
"Camera operators, television, video, and motion picture(1)",27-4031,doctor/professional,1,2012
Film and video editors(1),27-4032,less hs,0.7,2012
Film and video editors(1),27-4032,high school,9.3,2012
Film and video editors(1),27-4032,"some college, no degree",18.9,2012
Film and video editors(1),27-4032,associate,8.8,2012
Film and video editors(1),27-4032,bachelor,53,2012
Film and video editors(1),27-4032,master,8.3,2012
Film and video editors(1),27-4032,doctor/professional,1,2012
"Media and communication equipment workers, all other(1)",27-4099,less hs,3.1,2012
"Media and communication equipment workers, all other(1)",27-4099,high school,14.8,2012
"Media and communication equipment workers, all other(1)",27-4099,"some college, no degree",28.4,2012
"Media and communication equipment workers, all other(1)",27-4099,associate,16.2,2012
"Media and communication equipment workers, all other(1)",27-4099,bachelor,32.9,2012
"Media and communication equipment workers, all other(1)",27-4099,master,3.8,2012
"Media and communication equipment workers, all other(1)",27-4099,doctor/professional,0.6,2012
Chiropractors,29-1011,less hs,0.6,2012
Chiropractors,29-1011,high school,0.9,2012
Chiropractors,29-1011,"some college, no degree",1.8,2012
Chiropractors,29-1011,associate,0.3,2012
Chiropractors,29-1011,bachelor,4.7,2012
Chiropractors,29-1011,master,2.4,2012
Chiropractors,29-1011,doctor/professional,89.3,2012
"Dentists, general(1)",29-1021,less hs,0.2,2012
"Dentists, general(1)",29-1021,high school,0.3,2012
"Dentists, general(1)",29-1021,"some college, no degree",0,2012
"Dentists, general(1)",29-1021,associate,0.3,2012
"Dentists, general(1)",29-1021,bachelor,1.7,2012
"Dentists, general(1)",29-1021,master,2.1,2012
"Dentists, general(1)",29-1021,doctor/professional,95.5,2012
Oral and maxillofacial surgeons(1),29-1022,less hs,0.2,2012
Oral and maxillofacial surgeons(1),29-1022,high school,0.3,2012
Oral and maxillofacial surgeons(1),29-1022,"some college, no degree",0,2012
Oral and maxillofacial surgeons(1),29-1022,associate,0.3,2012
Oral and maxillofacial surgeons(1),29-1022,bachelor,1.7,2012
Oral and maxillofacial surgeons(1),29-1022,master,2.1,2012
Oral and maxillofacial surgeons(1),29-1022,doctor/professional,95.5,2012
Orthodontists(1),29-1023,less hs,0.2,2012
Orthodontists(1),29-1023,high school,0.3,2012
Orthodontists(1),29-1023,"some college, no degree",0,2012
Orthodontists(1),29-1023,associate,0.3,2012
Orthodontists(1),29-1023,bachelor,1.7,2012
Orthodontists(1),29-1023,master,2.1,2012
Orthodontists(1),29-1023,doctor/professional,95.5,2012
Prosthodontists(1),29-1024,less hs,0.2,2012
Prosthodontists(1),29-1024,high school,0.3,2012
Prosthodontists(1),29-1024,"some college, no degree",0,2012
Prosthodontists(1),29-1024,associate,0.3,2012
Prosthodontists(1),29-1024,bachelor,1.7,2012
Prosthodontists(1),29-1024,master,2.1,2012
Prosthodontists(1),29-1024,doctor/professional,95.5,2012
"Dentists, all other specialists(1)",29-1029,less hs,0.2,2012
"Dentists, all other specialists(1)",29-1029,high school,0.3,2012
"Dentists, all other specialists(1)",29-1029,"some college, no degree",0,2012
"Dentists, all other specialists(1)",29-1029,associate,0.3,2012
"Dentists, all other specialists(1)",29-1029,bachelor,1.7,2012
"Dentists, all other specialists(1)",29-1029,master,2.1,2012
"Dentists, all other specialists(1)",29-1029,doctor/professional,95.5,2012
Dietitians and nutritionists,29-1031,less hs,3.3,2012
Dietitians and nutritionists,29-1031,high school,12.6,2012
Dietitians and nutritionists,29-1031,"some college, no degree",7.2,2012
Dietitians and nutritionists,29-1031,associate,4.4,2012
Dietitians and nutritionists,29-1031,bachelor,39.4,2012
Dietitians and nutritionists,29-1031,master,26.4,2012
Dietitians and nutritionists,29-1031,doctor/professional,6.6,2012
Optometrists,29-1041,less hs,0.1,2012
Optometrists,29-1041,high school,0.5,2012
Optometrists,29-1041,"some college, no degree",0,2012
Optometrists,29-1041,associate,0.3,2012
Optometrists,29-1041,bachelor,1.6,2012
Optometrists,29-1041,master,2.4,2012
Optometrists,29-1041,doctor/professional,95.1,2012
Pharmacists,29-1051,less hs,0.1,2012
Pharmacists,29-1051,high school,0.1,2012
Pharmacists,29-1051,"some college, no degree",1.4,2012
Pharmacists,29-1051,associate,0.9,2012
Pharmacists,29-1051,bachelor,36.6,2012
Pharmacists,29-1051,master,6.1,2012
Pharmacists,29-1051,doctor/professional,54.8,2012
Anesthesiologists(1),29-1061,less hs,0.2,2012
Anesthesiologists(1),29-1061,high school,0.2,2012
Anesthesiologists(1),29-1061,"some college, no degree",0.1,2012
Anesthesiologists(1),29-1061,associate,0.3,2012
Anesthesiologists(1),29-1061,bachelor,2.3,2012
Anesthesiologists(1),29-1061,master,3.3,2012
Anesthesiologists(1),29-1061,doctor/professional,93.7,2012
Family and general practitioners(1),29-1062,less hs,0.2,2012
Family and general practitioners(1),29-1062,high school,0.2,2012
Family and general practitioners(1),29-1062,"some college, no degree",0.1,2012
Family and general practitioners(1),29-1062,associate,0.3,2012
Family and general practitioners(1),29-1062,bachelor,2.3,2012
Family and general practitioners(1),29-1062,master,3.3,2012
Family and general practitioners(1),29-1062,doctor/professional,93.7,2012
"Internists, general(1)",29-1063,less hs,0.2,2012
"Internists, general(1)",29-1063,high school,0.2,2012
"Internists, general(1)",29-1063,"some college, no degree",0.1,2012
"Internists, general(1)",29-1063,associate,0.3,2012
"Internists, general(1)",29-1063,bachelor,2.3,2012
"Internists, general(1)",29-1063,master,3.3,2012
"Internists, general(1)",29-1063,doctor/professional,93.7,2012
Obstetricians and gynecologists(1),29-1064,less hs,0.2,2012
Obstetricians and gynecologists(1),29-1064,high school,0.2,2012
Obstetricians and gynecologists(1),29-1064,"some college, no degree",0.1,2012
Obstetricians and gynecologists(1),29-1064,associate,0.3,2012
Obstetricians and gynecologists(1),29-1064,bachelor,2.3,2012
Obstetricians and gynecologists(1),29-1064,master,3.3,2012
Obstetricians and gynecologists(1),29-1064,doctor/professional,93.7,2012
"Pediatricians, general(1)",29-1065,less hs,0.2,2012
"Pediatricians, general(1)",29-1065,high school,0.2,2012
"Pediatricians, general(1)",29-1065,"some college, no degree",0.1,2012
"Pediatricians, general(1)",29-1065,associate,0.3,2012
"Pediatricians, general(1)",29-1065,bachelor,2.3,2012
"Pediatricians, general(1)",29-1065,master,3.3,2012
"Pediatricians, general(1)",29-1065,doctor/professional,93.7,2012
Psychiatrists(1),29-1066,less hs,0.2,2012
Psychiatrists(1),29-1066,high school,0.2,2012
Psychiatrists(1),29-1066,"some college, no degree",0.1,2012
Psychiatrists(1),29-1066,associate,0.3,2012
Psychiatrists(1),29-1066,bachelor,2.3,2012
Psychiatrists(1),29-1066,master,3.3,2012
Psychiatrists(1),29-1066,doctor/professional,93.7,2012
Surgeons(1),29-1067,less hs,0.2,2012
Surgeons(1),29-1067,high school,0.2,2012
Surgeons(1),29-1067,"some college, no degree",0.1,2012
Surgeons(1),29-1067,associate,0.3,2012
Surgeons(1),29-1067,bachelor,2.3,2012
Surgeons(1),29-1067,master,3.3,2012
Surgeons(1),29-1067,doctor/professional,93.7,2012
"Physicians and surgeons, all other(1)",29-1069,less hs,0.2,2012
"Physicians and surgeons, all other(1)",29-1069,high school,0.2,2012
"Physicians and surgeons, all other(1)",29-1069,"some college, no degree",0.1,2012
"Physicians and surgeons, all other(1)",29-1069,associate,0.3,2012
"Physicians and surgeons, all other(1)",29-1069,bachelor,2.3,2012
"Physicians and surgeons, all other(1)",29-1069,master,3.3,2012
"Physicians and surgeons, all other(1)",29-1069,doctor/professional,93.7,2012
Physician assistants,29-1071,less hs,0.5,2012
Physician assistants,29-1071,high school,4.9,2012
Physician assistants,29-1071,"some college, no degree",7.9,2012
Physician assistants,29-1071,associate,11.6,2012
Physician assistants,29-1071,bachelor,25.8,2012
Physician assistants,29-1071,master,36.9,2012
Physician assistants,29-1071,doctor/professional,12.3,2012
Podiatrists,29-1081,less hs,0.3,2012
Podiatrists,29-1081,high school,0.6,2012
Podiatrists,29-1081,"some college, no degree",0,2012
Podiatrists,29-1081,associate,0,2012
Podiatrists,29-1081,bachelor,1.5,2012
Podiatrists,29-1081,master,2.4,2012
Podiatrists,29-1081,doctor/professional,95.3,2012
Occupational therapists,29-1122,less hs,0.3,2012
Occupational therapists,29-1122,high school,0.4,2012
Occupational therapists,29-1122,"some college, no degree",1.4,2012
Occupational therapists,29-1122,associate,8,2012
Occupational therapists,29-1122,bachelor,43.5,2012
Occupational therapists,29-1122,master,41.7,2012
Occupational therapists,29-1122,doctor/professional,4.6,2012
Physical therapists,29-1123,less hs,0.2,2012
Physical therapists,29-1123,high school,1.3,2012
Physical therapists,29-1123,"some college, no degree",1.6,2012
Physical therapists,29-1123,associate,5.7,2012
Physical therapists,29-1123,bachelor,34.6,2012
Physical therapists,29-1123,master,28.6,2012
Physical therapists,29-1123,doctor/professional,28.1,2012
Radiation therapists,29-1124,less hs,0,2012
Radiation therapists,29-1124,high school,3.6,2012
Radiation therapists,29-1124,"some college, no degree",12.4,2012
Radiation therapists,29-1124,associate,30.6,2012
Radiation therapists,29-1124,bachelor,43.4,2012
Radiation therapists,29-1124,master,5.3,2012
Radiation therapists,29-1124,doctor/professional,4.8,2012
Recreational therapists,29-1125,less hs,1.8,2012
Recreational therapists,29-1125,high school,8.4,2012
Recreational therapists,29-1125,"some college, no degree",10.7,2012
Recreational therapists,29-1125,associate,6.2,2012
Recreational therapists,29-1125,bachelor,58.8,2012
Recreational therapists,29-1125,master,13.5,2012
Recreational therapists,29-1125,doctor/professional,0.7,2012
Respiratory therapists,29-1126,less hs,0.2,2012
Respiratory therapists,29-1126,high school,2,2012
Respiratory therapists,29-1126,"some college, no degree",12.7,2012
Respiratory therapists,29-1126,associate,57.2,2012
Respiratory therapists,29-1126,bachelor,23.4,2012
Respiratory therapists,29-1126,master,3,2012
Respiratory therapists,29-1126,doctor/professional,1.4,2012
Speech-language pathologists,29-1127,less hs,0.4,2012
Speech-language pathologists,29-1127,high school,0.7,2012
Speech-language pathologists,29-1127,"some college, no degree",0.8,2012
Speech-language pathologists,29-1127,associate,0.9,2012
Speech-language pathologists,29-1127,bachelor,9.1,2012
Speech-language pathologists,29-1127,master,85.2,2012
Speech-language pathologists,29-1127,doctor/professional,2.9,2012
Exercise physiologists(1),29-1128,less hs,0.3,2012
Exercise physiologists(1),29-1128,high school,2.2,2012
Exercise physiologists(1),29-1128,"some college, no degree",5.1,2012
Exercise physiologists(1),29-1128,associate,6.2,2012
Exercise physiologists(1),29-1128,bachelor,24.3,2012
Exercise physiologists(1),29-1128,master,54.8,2012
Exercise physiologists(1),29-1128,doctor/professional,7,2012
"Therapists, all other(1)",29-1129,less hs,0.3,2012
"Therapists, all other(1)",29-1129,high school,2.2,2012
"Therapists, all other(1)",29-1129,"some college, no degree",5.1,2012
"Therapists, all other(1)",29-1129,associate,6.2,2012
"Therapists, all other(1)",29-1129,bachelor,24.3,2012
"Therapists, all other(1)",29-1129,master,54.8,2012
"Therapists, all other(1)",29-1129,doctor/professional,7,2012
Veterinarians,29-1131,less hs,0,2012
Veterinarians,29-1131,high school,0.2,2012
Veterinarians,29-1131,"some college, no degree",0,2012
Veterinarians,29-1131,associate,0.2,2012
Veterinarians,29-1131,bachelor,3,2012
Veterinarians,29-1131,master,1.8,2012
Veterinarians,29-1131,doctor/professional,94.7,2012
Registered nurses,29-1141,less hs,0.2,2012
Registered nurses,29-1141,high school,1.1,2012
Registered nurses,29-1141,"some college, no degree",5.4,2012
Registered nurses,29-1141,associate,36.7,2012
Registered nurses,29-1141,bachelor,46.5,2012
Registered nurses,29-1141,master,8.2,2012
Registered nurses,29-1141,doctor/professional,1.9,2012
Nurse anesthetists,29-1151,less hs,0,2012
Nurse anesthetists,29-1151,high school,2.3,2012
Nurse anesthetists,29-1151,"some college, no degree",4.9,2012
Nurse anesthetists,29-1151,associate,4,2012
Nurse anesthetists,29-1151,bachelor,13.6,2012
Nurse anesthetists,29-1151,master,61.5,2012
Nurse anesthetists,29-1151,doctor/professional,13.6,2012
Nurse midwives(1),29-1161,less hs,0.3,2012
Nurse midwives(1),29-1161,high school,0.6,2012
Nurse midwives(1),29-1161,"some college, no degree",1.2,2012
Nurse midwives(1),29-1161,associate,1,2012
Nurse midwives(1),29-1161,bachelor,5.8,2012
Nurse midwives(1),29-1161,master,77.7,2012
Nurse midwives(1),29-1161,doctor/professional,13.5,2012
Nurse practitioners(1),29-1171,less hs,0.3,2012
Nurse practitioners(1),29-1171,high school,0.6,2012
Nurse practitioners(1),29-1171,"some college, no degree",1.2,2012
Nurse practitioners(1),29-1171,associate,1,2012
Nurse practitioners(1),29-1171,bachelor,5.8,2012
Nurse practitioners(1),29-1171,master,77.7,2012
Nurse practitioners(1),29-1171,doctor/professional,13.5,2012
Audiologists,29-1181,less hs,0,2012
Audiologists,29-1181,high school,2.7,2012
Audiologists,29-1181,"some college, no degree",3.2,2012
Audiologists,29-1181,associate,2.8,2012
Audiologists,29-1181,bachelor,8.2,2012
Audiologists,29-1181,master,32.8,2012
Audiologists,29-1181,doctor/professional,50.3,2012
"Health diagnosing and treating practitioners, all other",29-1199,less hs,1.2,2012
"Health diagnosing and treating practitioners, all other",29-1199,high school,2.6,2012
"Health diagnosing and treating practitioners, all other",29-1199,"some college, no degree",7.6,2012
"Health diagnosing and treating practitioners, all other",29-1199,associate,3,2012
"Health diagnosing and treating practitioners, all other",29-1199,bachelor,15.7,2012
"Health diagnosing and treating practitioners, all other",29-1199,master,42,2012
"Health diagnosing and treating practitioners, all other",29-1199,doctor/professional,27.9,2012
Medical and clinical laboratory technologists(1),29-2011,less hs,1.4,2012
Medical and clinical laboratory technologists(1),29-2011,high school,9.5,2012
Medical and clinical laboratory technologists(1),29-2011,"some college, no degree",19,2012
Medical and clinical laboratory technologists(1),29-2011,associate,17.2,2012
Medical and clinical laboratory technologists(1),29-2011,bachelor,44.1,2012
Medical and clinical laboratory technologists(1),29-2011,master,6.5,2012
Medical and clinical laboratory technologists(1),29-2011,doctor/professional,2.3,2012
Medical and clinical laboratory technicians(1),29-2012,less hs,1.4,2012
Medical and clinical laboratory technicians(1),29-2012,high school,9.5,2012
Medical and clinical laboratory technicians(1),29-2012,"some college, no degree",19,2012
Medical and clinical laboratory technicians(1),29-2012,associate,17.2,2012
Medical and clinical laboratory technicians(1),29-2012,bachelor,44.1,2012
Medical and clinical laboratory technicians(1),29-2012,master,6.5,2012
Medical and clinical laboratory technicians(1),29-2012,doctor/professional,2.3,2012
Dental hygienists,29-2021,less hs,0.6,2012
Dental hygienists,29-2021,high school,3.1,2012
Dental hygienists,29-2021,"some college, no degree",8,2012
Dental hygienists,29-2021,associate,52.8,2012
Dental hygienists,29-2021,bachelor,31.9,2012
Dental hygienists,29-2021,master,2,2012
Dental hygienists,29-2021,doctor/professional,1.7,2012
Cardiovascular technologists and technicians(1),29-2031,less hs,0.7,2012
Cardiovascular technologists and technicians(1),29-2031,high school,7.4,2012
Cardiovascular technologists and technicians(1),29-2031,"some college, no degree",21.8,2012
Cardiovascular technologists and technicians(1),29-2031,associate,44.3,2012
Cardiovascular technologists and technicians(1),29-2031,bachelor,22,2012
Cardiovascular technologists and technicians(1),29-2031,master,1.9,2012
Cardiovascular technologists and technicians(1),29-2031,doctor/professional,1.8,2012
Diagnostic medical sonographers(1),29-2032,less hs,0.7,2012
Diagnostic medical sonographers(1),29-2032,high school,7.4,2012
Diagnostic medical sonographers(1),29-2032,"some college, no degree",21.8,2012
Diagnostic medical sonographers(1),29-2032,associate,44.3,2012
Diagnostic medical sonographers(1),29-2032,bachelor,22,2012
Diagnostic medical sonographers(1),29-2032,master,1.9,2012
Diagnostic medical sonographers(1),29-2032,doctor/professional,1.8,2012
Nuclear medicine technologists(1),29-2033,less hs,0.7,2012
Nuclear medicine technologists(1),29-2033,high school,7.4,2012
Nuclear medicine technologists(1),29-2033,"some college, no degree",21.8,2012
Nuclear medicine technologists(1),29-2033,associate,44.3,2012
Nuclear medicine technologists(1),29-2033,bachelor,22,2012
Nuclear medicine technologists(1),29-2033,master,1.9,2012
Nuclear medicine technologists(1),29-2033,doctor/professional,1.8,2012
Radiologic technologists(1),29-2034,less hs,0.7,2012
Radiologic technologists(1),29-2034,high school,7.4,2012
Radiologic technologists(1),29-2034,"some college, no degree",21.8,2012
Radiologic technologists(1),29-2034,associate,44.3,2012
Radiologic technologists(1),29-2034,bachelor,22,2012
Radiologic technologists(1),29-2034,master,1.9,2012
Radiologic technologists(1),29-2034,doctor/professional,1.8,2012
Magnetic resonance imaging technologists(1),29-2035,less hs,0.7,2012
Magnetic resonance imaging technologists(1),29-2035,high school,7.4,2012
Magnetic resonance imaging technologists(1),29-2035,"some college, no degree",21.8,2012
Magnetic resonance imaging technologists(1),29-2035,associate,44.3,2012
Magnetic resonance imaging technologists(1),29-2035,bachelor,22,2012
Magnetic resonance imaging technologists(1),29-2035,master,1.9,2012
Magnetic resonance imaging technologists(1),29-2035,doctor/professional,1.8,2012
Emergency medical technicians and paramedics,29-2041,less hs,0.8,2012
Emergency medical technicians and paramedics,29-2041,high school,13.9,2012
Emergency medical technicians and paramedics,29-2041,"some college, no degree",46.9,2012
Emergency medical technicians and paramedics,29-2041,associate,21.4,2012
Emergency medical technicians and paramedics,29-2041,bachelor,14.9,2012
Emergency medical technicians and paramedics,29-2041,master,1.6,2012
Emergency medical technicians and paramedics,29-2041,doctor/professional,0.5,2012
Dietetic technicians(1),29-2051,less hs,1.8,2012
Dietetic technicians(1),29-2051,high school,22.9,2012
Dietetic technicians(1),29-2051,"some college, no degree",35,2012
Dietetic technicians(1),29-2051,associate,21.4,2012
Dietetic technicians(1),29-2051,bachelor,16.1,2012
Dietetic technicians(1),29-2051,master,1.7,2012
Dietetic technicians(1),29-2051,doctor/professional,1,2012
Pharmacy technicians(1),29-2052,less hs,1.8,2012
Pharmacy technicians(1),29-2052,high school,22.9,2012
Pharmacy technicians(1),29-2052,"some college, no degree",35,2012
Pharmacy technicians(1),29-2052,associate,21.4,2012
Pharmacy technicians(1),29-2052,bachelor,16.1,2012
Pharmacy technicians(1),29-2052,master,1.7,2012
Pharmacy technicians(1),29-2052,doctor/professional,1,2012
Psychiatric technicians(1),29-2053,less hs,1.8,2012
Psychiatric technicians(1),29-2053,high school,22.9,2012
Psychiatric technicians(1),29-2053,"some college, no degree",35,2012
Psychiatric technicians(1),29-2053,associate,21.4,2012
Psychiatric technicians(1),29-2053,bachelor,16.1,2012
Psychiatric technicians(1),29-2053,master,1.7,2012
Psychiatric technicians(1),29-2053,doctor/professional,1,2012
Respiratory therapy technicians(1),29-2054,less hs,1.8,2012
Respiratory therapy technicians(1),29-2054,high school,22.9,2012
Respiratory therapy technicians(1),29-2054,"some college, no degree",35,2012
Respiratory therapy technicians(1),29-2054,associate,21.4,2012
Respiratory therapy technicians(1),29-2054,bachelor,16.1,2012
Respiratory therapy technicians(1),29-2054,master,1.7,2012
Respiratory therapy technicians(1),29-2054,doctor/professional,1,2012
Surgical technologists(1),29-2055,less hs,1.8,2012
Surgical technologists(1),29-2055,high school,22.9,2012
Surgical technologists(1),29-2055,"some college, no degree",35,2012
Surgical technologists(1),29-2055,associate,21.4,2012
Surgical technologists(1),29-2055,bachelor,16.1,2012
Surgical technologists(1),29-2055,master,1.7,2012
Surgical technologists(1),29-2055,doctor/professional,1,2012
Veterinary technologists and technicians(1),29-2056,less hs,1.8,2012
Veterinary technologists and technicians(1),29-2056,high school,22.9,2012
Veterinary technologists and technicians(1),29-2056,"some college, no degree",35,2012
Veterinary technologists and technicians(1),29-2056,associate,21.4,2012
Veterinary technologists and technicians(1),29-2056,bachelor,16.1,2012
Veterinary technologists and technicians(1),29-2056,master,1.7,2012
Veterinary technologists and technicians(1),29-2056,doctor/professional,1,2012
Ophthalmic medical technicians(1),29-2057,less hs,1.8,2012
Ophthalmic medical technicians(1),29-2057,high school,22.9,2012
Ophthalmic medical technicians(1),29-2057,"some college, no degree",35,2012
Ophthalmic medical technicians(1),29-2057,associate,21.4,2012
Ophthalmic medical technicians(1),29-2057,bachelor,16.1,2012
Ophthalmic medical technicians(1),29-2057,master,1.7,2012
Ophthalmic medical technicians(1),29-2057,doctor/professional,1,2012
Licensed practical and licensed vocational nurses,29-2061,less hs,1.4,2012
Licensed practical and licensed vocational nurses,29-2061,high school,18.6,2012
Licensed practical and licensed vocational nurses,29-2061,"some college, no degree",55.4,2012
Licensed practical and licensed vocational nurses,29-2061,associate,18.7,2012
Licensed practical and licensed vocational nurses,29-2061,bachelor,4.8,2012
Licensed practical and licensed vocational nurses,29-2061,master,0.6,2012
Licensed practical and licensed vocational nurses,29-2061,doctor/professional,0.4,2012
Medical records and health information technicians,29-2071,less hs,1.8,2012
